t,value
1578191060,0
1578191063,0
1578191066,0
1578191069,0
1578191072,0
1578191075,0
1578191078,1
1578191081,5
1578191084,5
1578191087,5
1578191090,5
1578191093,5
1578191096,5
1578191099,5
1578191102,5
1578191105,5
1578191108,5
1578191111,5
1578191114,5
1578191117,5
1578191120,5
1578191123,5
1578191126,5
1578191129,5
1578191132,5
1578191135,5
1578191138,5
1578191141,5
1578191144,5
1578191147,5
1578191150,5
1578191153,5
1578191156,5
1578191159,5
1578191162,5
1578191165,5
1578191168,5
1578191171,5
1578191174,5
1578191177,5
1578191180,5
1578191183,5
1578191186,5
1578191189,5
1578191192,5
1578191195,5
1578191198,5
1578191201,5
1578191204,5
1578191207,5
1578191210,5
1578191213,5
1578191216,5
1578191219,5
1578191222,5
1578191225,5
1578191228,5
1578191231,5
1578191234,5
1578191237,5
1578191240,5
1578191243,5
1578191246,5
1578191249,5
1578191252,5
1578191255,5
1578191258,5
1578191261,5
1578191264,5
1578191267,5
1578191270,5
1578191273,5
1578191276,4
1578191279,5
1578191282,5
1578191285,5
1578191288,5
1578191291,5
1578191294,5
1578191297,5
1578191300,5
1578191303,5
1578191306,4
1578191309,5
1578191312,5
1578191315,5
1578191318,5
1578191321,5
1578191324,5
1578191327,5
1578191330,5
1578191333,5
1578191336,5
1578191339,5
1578191342,5
1578191345,5
1578191348,5
1578191351,5
1578191354,5
1578191357,5
1578191360,5
1578191363,5
1578191366,5
1578191369,5
1578191372,5
1578191375,5
1578191378,5
1578191381,5
1578191384,5
1578191387,5
1578191390,5
1578191393,5
1578191396,5
1578191399,5
1578191402,5
1578191405,5
1578191408,5
1578191411,5
1578191414,5
1578191417,5
1578191420,5
1578191423,5
1578191426,5
1578191429,5
1578191432,5
1578191435,5
1578191438,5
1578191441,5
1578191444,5
1578191447,5
1578191450,5
1578191453,5
1578191456,5
1578191459,5
1578191462,5
1578191465,5
1578191468,5
1578191471,5
1578191474,5
1578191477,5
1578191480,5
1578191483,5
1578191486,5
1578191489,5
1578191492,5
1578191495,5
1578191498,5
1578191501,5
1578191504,5
1578191507,5
1578191510,5
1578191513,5
1578191516,5
1578191519,5
1578191522,5
1578191525,5
1578191528,5
1578191531,5
1578191534,5
1578191537,5
1578191540,5
1578191543,5
1578191546,5
1578191549,5
1578191552,5
1578191555,5
1578191558,5
1578191561,5
1578191564,5
1578191567,5
1578191570,5
1578191573,5
1578191576,5
1578191579,5
1578191582,5
1578191585,5
1578191588,5
1578191591,5
1578191594,5
1578191597,5
1578191600,5
1578191603,5
1578191606,5
1578191609,5
1578191612,5
1578191615,5
1578191618,5
1578191621,5
1578191624,5
1578191627,5
1578191630,5
1578191633,5
1578191636,5
1578191639,5
1578191642,5
1578191645,5
1578191648,5
1578191651,5
1578191654,5
1578191657,5
1578191660,5
1578191663,5
1578191666,5
1578191669,5
1578191672,5
1578191675,5
1578191678,5
1578191681,5
1578191684,5
1578191687,5
1578191690,5
1578191693,5
1578191696,5
1578191699,5
1578191702,5
1578191705,4
1578191708,5
1578191711,5
1578191714,5
1578191717,5
1578191720,5
1578191723,5
1578191726,4
1578191729,5
1578191732,5
1578191735,5
1578191738,5
1578191741,5
1578191744,5
1578191747,5
1578191750,5
1578191753,5
1578191756,5
1578191759,5
1578191762,5
1578191765,5
1578191768,5
1578191771,5
1578191774,5
1578191777,5
1578191780,5
1578191783,5
1578191786,5
1578191789,5
1578191792,5
1578191795,5
1578191798,5
1578191801,5
1578191804,5
1578191807,5
1578191810,5
1578191813,5
1578191816,5
1578191819,5
1578191822,5
1578191825,5
1578191828,5
1578191831,5
1578191834,5
1578191837,5
1578191840,5
1578191843,5
1578191846,5
1578191849,5
1578191852,5
1578191855,5
1578191858,5
1578191861,5
1578191864,5
1578191867,5
1578191870,5
1578191873,5
1578191876,5
1578191879,5
1578191882,5
1578191885,5
1578191888,5
1578191891,5
1578191894,5
1578191897,5
1578191900,5
1578191903,5
1578191906,5
1578191909,5
1578191912,5
1578191915,5
1578191918,5
1578191921,5
1578191924,5
1578191927,5
1578191930,5
1578191933,5
1578191936,5
1578191939,5
1578191942,5
1578191945,5
