t,value
1578192627,77
1578194017,67
1578194917,45
t,value
1578239929,100
1578240829,49
1578241729,49
1578250581,175
1578251481,99
1578252381,73
1578267308,302
1578268768,69
1578270479,74
1578271379,83
1578272369,55
1578273269,149
1578274170,161
1578278031,124
1578278931,55
1578279831,54
1578280731,37
1578281631,76
t,value
1578419296,220
1578443939,88
1578444839,77
1578453541,181
1578454441,43
1578457791,64
1578488306,20746
1578492367,95
1578494177,98
1578495077,74
1578495977,94
1578496878,76
1578501668,97
1578502569,142
1578503481,11921
1578505031,91
1578505932,699
1578572892,1070
1578573793,291
1578576493,33
1578577393,79
t,value
1578585266,64
