t,value
1578191060,0
1578191063,0
1578191066,0
1578191069,0
1578191072,0
1578191075,0
1578191078,0
1578191081,0
1578191084,0
1578191087,0
1578191090,0
1578191093,0
1578191096,0
1578191099,0
1578191102,0
1578191105,0
1578191108,0
1578191111,0
1578191114,0
1578191117,0
1578191120,0
1578191123,0
1578191126,0
1578191129,0
1578191132,0
1578191135,0
1578191138,0
1578191141,0
1578191144,0
1578191147,0
1578191150,0
1578191153,0
1578191156,0
1578191159,0
1578191162,0
1578191165,0
1578191168,0
1578191171,0
1578191174,0
1578191177,0
1578191180,0
1578191183,0
1578191186,0
1578191189,0
1578191192,0
1578191195,0
1578191198,0
1578191201,0
1578191204,0
1578191207,0
1578191210,0
1578191213,0
1578191216,0
1578191219,0
1578191222,0
1578191225,0
1578191228,0
1578191231,0
1578191234,0
1578191237,0
1578191240,0
1578191243,0
1578191246,0
1578191249,0
1578191252,0
1578191255,0
1578191258,0
1578191261,0
1578191264,0
1578191267,0
1578191270,0
1578191273,0
1578191276,0
1578191279,0
1578191282,0
1578191285,0
1578191288,0
1578191291,0
1578191294,0
1578191297,0
1578191300,0
1578191303,0
1578191306,0
1578191309,0
1578191312,0
1578191315,0
1578191318,0
1578191321,0
1578191324,0
1578191327,0
1578191330,0
1578191333,0
1578191336,0
1578191339,0
1578191342,0
1578191345,0
1578191348,0
1578191351,0
1578191354,0
1578191357,0
1578191360,0
1578191363,0
1578191366,0
1578191369,0
1578191372,0
1578191375,0
1578191378,0
1578191381,0
1578191384,0
1578191387,0
1578191390,0
1578191393,0
1578191396,0
1578191399,0
1578191402,0
1578191405,0
1578191408,0
1578191411,0
1578191414,0
1578191417,0
1578191420,0
1578191423,0
1578191426,0
1578191429,0
1578191432,0
1578191435,0
1578191438,0
1578191441,0
1578191444,0
1578191447,0
1578191450,0
1578191453,0
1578191456,0
1578191459,0
1578191462,0
1578191465,0
1578191468,0
1578191471,0
1578191474,0
1578191477,0
1578191480,0
1578191483,0
1578191486,0
1578191489,0
1578191492,0
1578191495,0
1578191498,0
1578191501,0
1578191504,0
1578191507,0
1578191510,0
1578191513,0
1578191516,0
1578191519,0
1578191522,0
1578191525,0
1578191528,0
1578191531,0
1578191534,0
1578191537,0
1578191540,0
1578191543,0
1578191546,0
1578191549,0
1578191552,0
1578191555,0
1578191558,0
1578191561,0
1578191564,0
1578191567,0
1578191570,0
1578191573,0
1578191576,0
1578191579,0
1578191582,0
1578191585,0
1578191588,0
1578191591,0
1578191594,0
1578191597,0
1578191600,0
1578191603,0
1578191606,0
1578191609,0
1578191612,0
1578191615,0
1578191618,0
1578191621,0
1578191624,0
1578191627,0
1578191630,20
1578191633,20
1578191636,20
1578191639,20
1578191642,20
1578191645,20
1578191648,20
1578191651,20
1578191654,19
1578191657,19
1578191660,19
1578191663,19
1578191666,19
1578191669,19
1578191672,19
1578191675,19
1578191678,19
1578191681,19
1578191684,19
1578191687,19
1578191690,19
1578191693,19
1578191696,19
1578191699,19
1578191702,19
1578191705,19
1578191708,19
1578191711,19
1578191714,19
1578191717,19
1578191720,19
1578191723,19
1578191726,19
1578191729,19
1578191732,19
1578191735,19
1578191738,19
1578191741,19
1578191744,19
1578191747,19
1578191750,19
1578191753,19
1578191756,19
1578191759,19
1578191762,19
1578191765,19
1578191768,19
1578191771,19
1578191774,19
1578191777,19
1578191780,19
1578191783,19
1578191786,19
1578191789,39
1578191792,39
1578191795,39
1578191798,39
1578191801,39
1578191804,39
1578191807,39
1578191810,39
1578191813,39
1578191816,39
1578191819,39
1578191822,39
1578191825,39
1578191828,39
1578191831,39
1578191834,39
1578191837,39
1578191840,39
1578191843,39
1578191846,39
1578191849,39
1578191852,39
1578191855,39
1578191858,39
1578191861,39
1578191864,39
1578191867,39
1578191870,39
1578191873,39
1578191876,39
1578191879,39
1578191882,39
1578191885,39
1578191888,39
1578191891,33
1578191894,33
1578191897,33
1578191900,33
1578191903,33
1578191906,33
1578191909,33
1578191912,33
1578191915,33
1578191918,33
1578191921,33
1578191924,33
1578191927,33
1578191930,33
1578191933,33
1578191936,33
1578191939,33
1578191942,33
1578191945,33
