t,value
1578191060,3.52328431372549E-4
1578191063,3.52328431372549E-4
1578191066,3.52328431372549E-4
1578191069,3.52328431372549E-4
1578191072,3.52328431372549E-4
1578191075,3.52328431372549E-4
1578191078,3.52328431372549E-4
1578191081,3.52328431372549E-4
1578191084,3.52328431372549E-4
1578191087,3.52328431372549E-4
1578191090,3.52328431372549E-4
1578191093,3.52328431372549E-4
1578191096,3.52328431372549E-4
1578191099,3.52328431372549E-4
1578191102,3.52328431372549E-4
1578191105,3.52328431372549E-4
1578191108,3.52328431372549E-4
1578191111,3.52328431372549E-4
1578191114,3.52328431372549E-4
1578191117,3.52328431372549E-4
1578191120,3.52328431372549E-4
1578191123,3.52328431372549E-4
1578191126,3.52328431372549E-4
1578191129,3.52328431372549E-4
1578191132,3.52328431372549E-4
1578191135,3.52328431372549E-4
1578191138,3.52328431372549E-4
1578191141,3.52328431372549E-4
1578191144,3.52328431372549E-4
1578191147,3.52328431372549E-4
1578191150,3.52328431372549E-4
1578191153,3.52328431372549E-4
1578191156,3.52328431372549E-4
1578191159,3.52328431372549E-4
1578191162,3.52328431372549E-4
1578191165,3.52328431372549E-4
1578191168,3.52328431372549E-4
1578191171,3.52328431372549E-4
1578191174,3.52328431372549E-4
1578191177,3.52328431372549E-4
1578191180,3.52328431372549E-4
1578191183,3.52328431372549E-4
1578191186,3.52328431372549E-4
1578191189,3.52328431372549E-4
1578191192,3.52328431372549E-4
1578191195,3.52328431372549E-4
1578191198,3.52328431372549E-4
1578191201,3.52328431372549E-4
1578191204,3.52328431372549E-4
1578191207,3.52328431372549E-4
1578191210,3.52328431372549E-4
1578191213,3.52328431372549E-4
1578191216,3.52328431372549E-4
1578191219,3.52328431372549E-4
1578191222,3.52328431372549E-4
1578191225,3.52328431372549E-4
1578191228,3.52328431372549E-4
1578191231,3.52328431372549E-4
1578191234,3.52328431372549E-4
1578191237,3.52328431372549E-4
1578191240,3.52328431372549E-4
1578191243,3.52328431372549E-4
1578191246,3.52328431372549E-4
1578191249,3.52328431372549E-4
1578191252,3.52328431372549E-4
1578191255,3.52328431372549E-4
1578191258,3.52328431372549E-4
1578191261,3.52328431372549E-4
1578191264,3.52328431372549E-4
1578191267,3.52328431372549E-4
1578191270,3.52328431372549E-4
