t,value
1578191060,-1
1578191063,8
1578191066,11
1578191069,11
1578191072,11
1578191075,11
1578191078,11
1578191081,11
1578191084,11
1578191087,11
1578191090,11
1578191093,11
1578191096,11
1578191099,11
1578191102,11
1578191105,11
1578191108,11
1578191111,11
1578191114,11
1578191117,11
1578191120,11
1578191123,11
1578191126,10
1578191129,10
1578191132,10
1578191135,10
1578191138,10
1578191141,10
1578191144,10
1578191147,10
1578191150,10
1578191153,10
1578191156,10
1578191159,10
1578191162,10
1578191165,10
1578191168,10
1578191171,10
1578191174,10
1578191177,10
1578191180,10
1578191183,10
1578191186,9
1578191189,9
1578191192,9
1578191195,9
1578191198,9
1578191201,9
1578191204,9
1578191207,9
1578191210,9
1578191213,9
1578191216,9
1578191219,9
1578191222,9
1578191225,9
1578191228,9
1578191231,9
1578191234,9
1578191237,9
1578191240,9
1578191243,9
1578191246,8
1578191249,8
1578191252,8
1578191255,8
1578191258,8
1578191261,8
1578191264,8
1578191267,8
1578191270,8
1578191273,8
1578191276,8
1578191279,8
1578191282,8
1578191285,8
1578191288,8
1578191291,8
1578191294,8
1578191297,8
1578191300,8
1578191303,8
1578191306,8
1578191309,8
1578191312,8
1578191315,8
1578191318,8
1578191321,8
1578191324,8
1578191327,8
1578191330,8
1578191333,8
1578191336,8
1578191339,8
1578191342,8
1578191345,8
1578191348,8
1578191351,8
1578191354,8
1578191357,8
1578191360,8
1578191363,8
1578191366,8
1578191369,8
1578191372,8
1578191375,8
1578191378,8
1578191381,8
1578191384,8
1578191387,8
1578191390,8
1578191393,8
1578191396,8
1578191399,8
1578191402,8
1578191405,8
1578191408,8
1578191411,8
1578191414,8
1578191417,8
1578191420,8
1578191423,8
1578191426,8
1578191429,8
1578191432,8
1578191435,8
1578191438,8
1578191441,8
1578191444,8
1578191447,8
1578191450,8
1578191453,8
1578191456,8
1578191459,8
1578191462,8
1578191465,8
1578191468,8
1578191471,8
1578191474,8
1578191477,8
1578191480,8
1578191483,8
1578191486,8
1578191489,8
1578191492,8
1578191495,8
1578191498,8
1578191501,8
1578191504,8
1578191507,8
1578191510,8
1578191513,8
1578191516,8
1578191519,8
1578191522,8
1578191525,8
1578191528,8
1578191531,8
1578191534,8
1578191537,8
1578191540,8
1578191543,8
1578191546,8
1578191549,8
1578191552,8
1578191555,8
1578191558,8
1578191561,8
1578191564,8
1578191567,8
1578191570,8
1578191573,8
1578191576,8
1578191579,8
1578191582,8
1578191585,8
1578191588,8
1578191591,8
1578191594,8
1578191597,8
1578191600,8
1578191603,8
1578191606,8
1578191609,8
1578191612,8
1578191615,8
1578191618,8
1578191621,8
1578191624,8
1578191627,8
1578191630,8
1578191633,8
1578191636,8
1578191639,8
1578191642,8
1578191645,8
1578191648,8
1578191651,8
1578191654,8
1578191657,8
1578191660,8
1578191663,8
1578191666,8
1578191669,8
1578191672,8
1578191675,8
1578191678,8
1578191681,8
1578191684,8
1578191687,8
1578191690,8
1578191693,8
1578191696,8
1578191699,8
1578191702,8
1578191705,8
1578191708,8
1578191711,8
1578191714,8
1578191717,8
1578191720,8
1578191723,8
1578191726,8
1578191729,8
1578191732,8
1578191735,8
