t,value
1578191060,-1
1578191063,2
1578191066,4
1578191069,4
1578191072,4
1578191075,4
1578191078,4
1578191081,4
1578191084,4
1578191087,4
1578191090,4
1578191093,4
1578191096,4
1578191099,4
1578191102,4
1578191105,4
1578191108,4
1578191111,4
1578191114,4
1578191117,4
1578191120,4
1578191123,4
1578191126,4
1578191129,4
1578191132,4
1578191135,4
1578191138,4
1578191141,4
1578191144,4
1578191147,4
1578191150,4
1578191153,4
1578191156,4
1578191159,4
1578191162,4
1578191165,4
1578191168,4
1578191171,4
1578191174,4
1578191177,4
1578191180,4
1578191183,4
1578191186,3
1578191189,3
1578191192,3
1578191195,3
1578191198,3
1578191201,3
1578191204,3
1578191207,3
1578191210,3
1578191213,3
1578191216,3
1578191219,3
1578191222,3
1578191225,3
1578191228,3
1578191231,3
1578191234,3
1578191237,3
1578191240,3
1578191243,3
1578191246,2
1578191249,2
1578191252,2
1578191255,2
1578191258,2
1578191261,2
1578191264,2
1578191267,2
1578191270,2
1578191273,2
1578191276,2
1578191279,2
1578191282,2
1578191285,2
1578191288,2
1578191291,2
1578191294,2
1578191297,2
1578191300,2
1578191303,2
1578191306,2
1578191309,2
1578191312,2
1578191315,2
1578191318,2
1578191321,2
1578191324,2
1578191327,2
1578191330,2
1578191333,2
1578191336,2
1578191339,2
1578191342,2
1578191345,2
1578191348,2
1578191351,2
1578191354,2
1578191357,2
1578191360,2
1578191363,2
1578191366,2
1578191369,2
1578191372,2
1578191375,2
1578191378,2
1578191381,2
1578191384,2
1578191387,2
1578191390,2
1578191393,2
1578191396,2
1578191399,2
1578191402,2
1578191405,2
1578191408,2
1578191411,2
1578191414,2
1578191417,2
1578191420,2
1578191423,2
1578191426,2
1578191429,2
1578191432,2
1578191435,2
1578191438,2
1578191441,2
1578191444,2
1578191447,2
1578191450,2
1578191453,2
1578191456,2
1578191459,2
1578191462,2
1578191465,2
1578191468,2
1578191471,2
1578191474,2
1578191477,2
1578191480,2
1578191483,2
1578191486,2
1578191489,2
1578191492,2
1578191495,2
1578191498,2
1578191501,2
1578191504,2
1578191507,2
1578191510,2
1578191513,2
1578191516,2
1578191519,2
1578191522,2
1578191525,2
1578191528,2
1578191531,2
1578191534,2
1578191537,2
1578191540,2
1578191543,2
1578191546,2
1578191549,2
1578191552,2
1578191555,2
1578191558,2
1578191561,2
1578191564,2
1578191567,2
1578191570,2
1578191573,2
1578191576,2
1578191579,2
1578191582,2
1578191585,2
1578191588,2
1578191591,2
1578191594,2
1578191597,2
1578191600,2
1578191603,2
1578191606,2
1578191609,2
1578191612,2
1578191615,2
1578191618,2
1578191621,2
1578191624,2
1578191627,2
1578191630,2
1578191633,2
1578191636,2
1578191639,2
1578191642,2
1578191645,2
1578191648,2
1578191651,2
1578191654,2
1578191657,2
1578191660,2
1578191663,2
1578191666,2
1578191669,2
1578191672,2
1578191675,2
1578191678,2
1578191681,2
1578191684,2
1578191687,2
1578191690,2
1578191693,2
1578191696,2
1578191699,2
1578191702,2
1578191705,2
1578191708,2
1578191711,2
1578191714,2
1578191717,2
1578191720,2
1578191723,2
1578191726,2
1578191729,2
1578191732,2
1578191735,2
1578191738,2
1578191741,2
1578191744,2
1578191747,2
1578191750,2
1578191753,2
1578191756,2
1578191759,2
1578191762,2
1578191765,2
1578191768,2
1578191771,2
1578191774,2
1578191777,2
1578191780,2
1578191783,2
1578191786,2
1578191789,2
1578191792,2
1578191795,2
1578191798,2
1578191801,2
1578191804,2
1578191807,2
1578191810,2
1578191813,2
1578191816,2
1578191819,2
1578191822,2
1578191825,2
1578191828,2
1578191831,2
1578191834,2
1578191837,2
1578191840,2
1578191843,2
1578191846,2
1578191849,2
1578191852,2
1578191855,2
1578191858,2
1578191861,2
1578191864,2
1578191867,2
1578191870,2
1578191873,2
1578191876,2
1578191879,2
1578191882,2
1578191885,2
1578191888,2
1578191891,2
1578191894,2
1578191897,2
1578191900,2
1578191903,2
1578191906,2
1578191909,2
1578191912,2
1578191915,2
1578191918,2
1578191921,2
1578191924,2
1578191927,2
1578191930,2
1578191933,2
1578191936,2
1578191939,2
1578191942,2
1578191945,2
1578191948,2
1578191951,2
1578191954,2
1578191957,2
1578191960,2
1578191963,2
1578191966,2
1578191969,2
1578191972,2
1578191975,2
1578191978,2
1578191981,2
1578191984,2
1578191987,2
1578191990,2
1578191993,2
1578191996,2
1578191999,2
1578192002,2
1578192005,2
1578192008,2
1578192011,2
1578192014,2
1578192017,2
1578192020,2
1578192023,2
1578192026,2
1578192029,2
1578192032,2
1578192035,2
1578192038,2
1578192041,2
1578192044,2
1578192047,2
1578192050,2
1578192053,2
1578192056,2
1578192059,2
1578192062,2
1578192065,2
1578192068,2
1578192071,2
1578192074,2
1578192077,2
1578192080,2
1578192083,2
1578192086,2
1578192089,2
1578192092,2
1578192095,2
1578192098,2
1578192101,2
1578192104,2
1578192107,2
1578192110,2
1578192113,2
1578192116,2
1578192119,2
1578192122,2
1578192125,2
1578192128,2
1578192131,2
1578192134,2
1578192137,2
1578192140,2
1578192143,2
1578192146,2
1578192149,2
1578192152,2
1578192155,2
1578192158,2
1578192161,2
1578192164,2
1578192167,2
1578192170,2
1578192173,2
1578192176,2
1578192179,2
1578192182,2
1578192185,2
1578192188,2
1578192191,2
1578192194,2
1578192197,2
1578192200,2
1578192203,2
1578192206,2
1578192209,2
1578192212,2
1578192215,2
1578192218,2
1578192221,2
1578192224,2
1578192227,2
1578192230,2
1578192233,2
1578192236,2
1578192239,2
1578192242,2
1578192245,2
1578192248,2
1578192251,2
1578192254,2
1578192257,2
1578192260,2
1578192263,2
1578192266,2
1578192269,2
1578192272,2
1578192275,2
1578192278,2
1578192281,2
1578192284,2
1578192287,2
1578192290,2
1578192293,2
1578192296,2
1578192299,2
1578192302,2
1578192305,2
1578192308,2
1578192311,2
1578192314,2
1578192317,2
1578192320,2
1578192323,2
1578192326,2
1578192329,2
1578192332,2
1578192335,2
1578192338,2
1578192341,2
1578192344,2
1578192347,2
1578192350,2
1578192353,2
1578192356,2
1578192359,2
1578192362,2
1578192365,2
1578192368,2
1578192371,2
1578192374,2
1578192377,2
1578192380,2
1578192383,2
1578192386,2
1578192389,2
1578192392,2
1578192395,2
1578192398,2
1578192401,2
1578192404,2
1578192407,2
1578192410,2
1578192413,2
1578192416,2
1578192419,2
1578192422,2
1578192425,2
1578192428,2
1578192431,2
1578192434,2
1578192437,2
1578192440,2
1578192443,2
1578192446,2
1578192449,2
1578192452,2
1578192455,2
1578192458,2
1578192461,2
1578192464,2
1578192467,2
1578192470,2
1578192473,2
1578192476,2
1578192479,2
1578192482,2
1578192485,2
1578192488,2
1578192491,2
1578192494,2
1578192497,2
1578192500,2
1578192503,2
1578192506,2
1578192509,2
1578192512,2
1578192515,2
1578192518,2
1578192521,2
1578192524,2
1578192527,2
1578192530,2
1578192533,2
1578192536,2
1578192539,2
1578192542,2
1578192545,2
1578192548,2
1578192551,2
1578192554,2
1578192557,2
1578192560,2
1578192563,2
1578192566,2
1578192569,2
1578192572,2
1578192575,2
1578192578,2
1578192581,2
1578192584,2
1578192587,2
1578192590,2
1578192593,2
1578192596,2
1578192599,2
1578192602,2
1578192605,2
1578192608,2
1578192611,2
1578192614,2
1578192617,2
1578192620,2
1578192623,2
1578192626,2
1578192629,2
1578192632,2
1578192635,2
1578192638,2
1578192641,2
1578192644,2
1578192647,2
1578192650,2
1578192653,2
1578192656,2
1578192659,2
1578192662,2
1578192665,2
1578192668,2
1578192671,2
1578192674,2
1578192677,2
1578192680,2
1578192683,2
1578192686,2
1578192689,2
1578192692,2
1578192695,2
1578192698,2
1578192701,2
1578192704,2
1578192707,2
1578192710,2
1578192713,2
1578192716,2
1578192719,2
1578192722,2
1578192725,2
1578192728,2
1578192731,2
1578192734,2
1578192737,2
1578192740,2
1578192743,2
1578192746,2
1578192749,2
1578192752,2
1578192755,2
1578192758,2
1578192761,2
1578192764,2
1578192767,2
1578192770,2
1578192773,2
1578192776,2
1578192779,2
1578192782,2
1578192785,2
1578192788,2
1578192791,2
1578192794,2
1578192797,2
1578192800,2
1578192803,2
1578192806,2
1578192809,2
1578192812,2
1578192815,2
1578192818,2
1578192821,2
1578192824,2
1578192827,2
1578192830,2
1578192833,2
1578192836,2
1578192839,2
1578192842,2
1578192845,2
1578192848,2
1578192851,2
1578192854,2
1578192857,2
1578192860,2
1578192863,2
1578192866,2
1578192869,2
1578192872,2
1578192875,2
1578192878,2
1578192881,2
1578192884,2
1578192887,2
1578192890,2
1578192893,2
1578192896,2
1578192899,2
1578192902,2
1578192905,2
1578192908,2
1578192911,2
1578192914,2
1578192917,2
1578192920,2
1578192923,2
1578192926,2
1578192929,2
1578192932,2
1578192935,2
1578192938,2
1578192941,2
1578192944,2
1578192947,2
1578192950,2
1578192953,2
1578192956,2
1578192959,2
1578192962,2
1578192965,2
1578192968,2
1578192971,2
1578192974,2
1578192977,2
1578192980,2
1578192983,2
1578192986,2
1578192989,2
1578192992,2
1578192995,2
1578192998,2
1578193001,2
1578193004,2
1578193007,2
1578193010,2
1578193013,2
1578193016,2
1578193019,2
1578193022,2
1578193025,2
1578193028,2
1578193031,2
1578193034,2
1578193037,2
1578193040,2
1578193043,2
1578193046,2
1578193049,2
1578193052,2
1578193055,2
1578193058,2
1578193061,2
1578193064,2
1578193067,2
1578193070,2
1578193073,2
1578193076,2
1578193079,2
1578193082,2
1578193085,2
1578193088,2
1578193091,2
1578193094,2
1578193097,2
1578193100,2
1578193103,2
1578193106,2
1578193109,2
1578193112,2
1578193115,2
1578193118,2
1578193121,2
1578193124,2
1578193127,2
1578193130,2
1578193133,2
1578193136,2
1578193139,2
1578193142,2
1578193145,2
1578193148,2
1578193151,2
1578193154,2
1578193157,2
1578193160,2
1578193163,2
1578193166,2
1578193169,2
1578193172,2
1578193175,2
1578193178,2
1578193181,2
1578193184,2
1578193187,2
1578193190,2
1578193193,2
1578193196,2
1578193199,2
1578193202,2
1578193205,2
1578193208,2
1578193211,2
1578193214,2
1578193217,2
1578193220,2
1578193223,2
1578193226,2
1578193229,2
1578193232,2
1578193235,2
1578193238,2
1578193241,2
1578193244,2
1578193247,2
1578193250,2
1578193253,2
1578193256,2
1578193259,2
1578193262,2
1578193265,2
1578193268,2
1578193271,2
1578193274,2
1578193277,2
1578193280,2
1578193283,2
1578193286,2
1578193289,2
1578193292,2
1578193295,2
1578193298,2
1578193301,2
1578193304,2
1578193307,2
1578193310,2
1578193313,2
1578193316,2
1578193319,2
1578193322,2
1578193325,2
1578193328,2
1578193331,2
1578193334,2
1578193337,2
1578193340,2
1578193343,2
1578193346,2
1578193349,2
1578193352,2
1578193355,2
1578193358,2
1578193361,2
1578193364,2
1578193367,2
1578193370,2
1578193373,2
1578193376,2
1578193379,2
1578193382,2
1578193385,2
1578193388,2
1578193391,2
1578193394,2
1578193397,2
1578193400,2
1578193403,2
1578193406,2
1578193409,2
1578193412,2
1578193415,2
1578193418,2
1578193421,2
1578193424,2
1578193427,2
1578193430,2
1578193433,2
1578193436,2
1578193439,2
1578193442,2
1578193445,2
1578193448,2
1578193451,2
1578193454,2
1578193457,2
1578193460,2
1578193463,2
1578193466,2
1578193469,2
1578193472,2
1578193475,2
1578193478,2
1578193481,2
1578193484,2
1578193487,2
1578193490,2
1578193493,2
1578193496,2
1578193499,2
1578193502,2
1578193505,2
1578193508,2
1578193511,2
1578193514,2
1578193517,2
1578193520,2
1578193523,2
1578193526,2
1578193529,2
1578193532,2
1578193535,2
1578193538,2
1578193541,2
1578193544,2
1578193547,2
1578193550,2
1578193553,2
1578193556,2
1578193559,2
1578193562,2
1578193565,2
1578193568,2
1578193571,2
1578193574,2
1578193577,2
1578193580,2
1578193583,2
1578193586,2
1578193589,2
1578193592,2
1578193595,2
1578193598,2
1578193601,2
1578193604,2
1578193607,2
1578193610,2
1578193613,2
1578193616,2
1578193619,2
1578193622,2
1578193625,2
1578193628,2
1578193631,2
1578193634,2
1578193637,2
1578193640,2
1578193643,2
1578193646,2
1578193649,2
1578193652,2
1578193655,2
1578193658,2
1578193661,2
1578193664,2
1578193667,2
1578193670,2
1578193673,2
1578193676,2
1578193679,2
1578193682,2
1578193685,2
1578193688,2
1578193691,2
1578193694,2
1578193697,2
1578193700,2
1578193703,2
1578193706,2
1578193709,2
1578193712,2
1578193715,2
1578193718,2
1578193721,2
1578193724,2
1578193727,2
1578193730,2
1578193733,2
1578193736,2
1578193739,2
1578193742,2
1578193745,2
1578193748,2
1578193751,2
1578193754,2
1578193757,2
1578193760,2
1578193763,2
1578193766,2
1578193769,2
1578193772,2
1578193775,2
1578193778,2
1578193781,2
1578193784,2
1578193787,2
1578193790,2
1578193793,2
1578193796,2
1578193799,2
1578193802,2
1578193805,2
1578193808,2
1578193811,2
1578193814,2
1578193817,2
1578193820,2
1578193823,2
1578193826,2
1578193829,2
1578193832,2
