t,value
1578191060,196625
1578191063,196624
1578191066,266396
1578191069,266396
1578191072,266396
1578191075,266396
1578191078,266396
1578191081,266396
1578191084,266396
1578191087,266396
1578191090,266396
1578191093,266396
1578191096,266396
1578191099,266396
1578191102,266396
1578191105,266396
1578191108,266396
1578191111,266396
1578191114,266396
1578191117,266396
1578191120,266396
1578191123,266396
1578191126,266396
1578191129,266396
1578191132,266396
1578191135,266396
1578191138,266396
1578191141,266396
1578191144,266396
1578191147,266396
1578191150,248988
1578191153,248988
1578191156,248988
1578191159,248988
1578191162,248988
1578191165,248988
1578191168,248988
1578191171,248988
1578191174,248988
1578191177,248988
1578191180,248988
1578191183,248988
1578191186,248988
1578191189,248988
1578191192,248988
1578191195,248988
1578191198,248988
1578191201,248988
1578191204,248988
1578191207,248988
1578191210,248988
1578191213,248988
1578191216,248988
1578191219,248988
1578191222,248988
1578191225,248988
1578191228,248988
1578191231,248988
1578191234,248988
1578191237,248988
1578191240,248988
1578191243,248988
1578191246,248988
1578191249,248988
1578191252,248988
1578191255,248988
1578191258,248988
1578191261,248988
1578191264,248988
1578191267,248988
1578191270,248988
1578191273,248988
1578191276,248988
1578191279,248988
1578191282,248988
1578191285,248988
1578191288,248988
1578191291,248988
1578191294,248988
1578191297,248988
1578191300,248988
1578191303,248988
1578191306,248988
1578191309,248988
1578191312,214172
1578191315,214172
1578191318,214172
1578191321,214172
1578191324,214172
1578191327,214172
1578191330,214172
1578191333,214172
1578191336,214172
1578191339,214172
1578191342,214172
1578191345,214172
1578191348,214172
1578191351,214172
1578191354,214172
1578191357,214172
1578191360,214172
1578191363,214172
1578191366,214172
1578191369,214172
1578191372,214172
1578191375,214172
1578191378,214172
1578191381,214172
1578191384,214172
1578191387,214172
1578191390,214172
1578191393,214172
1578191396,214172
1578191399,214172
1578191402,214172
1578191405,214172
1578191408,214172
1578191411,214172
1578191414,214172
1578191417,214172
1578191420,214172
1578191423,214172
1578191426,214172
1578191429,214172
1578191432,214172
1578191435,214172
1578191438,214172
1578191441,214172
1578191444,214172
1578191447,214172
1578191450,214172
1578191453,214172
1578191456,214172
1578191459,214172
1578191462,214172
1578191465,214172
1578191468,214172
1578191471,214172
1578191474,214172
1578191477,214172
1578191480,214172
1578191483,214172
1578191486,214172
1578191489,214172
1578191492,214172
1578191495,214172
1578191498,214172
1578191501,214172
1578191504,214172
1578191507,214172
1578191510,214172
1578191513,214172
1578191516,214172
1578191519,214172
1578191522,214172
1578191525,214172
1578191528,214172
1578191531,214172
1578191534,214172
1578191537,214172
1578191540,214172
1578191543,214172
1578191546,214172
1578191549,214172
1578191552,214172
1578191555,214172
1578191558,214172
1578191561,214172
1578191564,214172
1578191567,214172
1578191570,214172
1578191573,214172
1578191576,214172
1578191579,214172
1578191582,214172
1578191585,214172
1578191588,214172
1578191591,214172
1578191594,214172
1578191597,214172
1578191600,214172
1578191603,214172
1578191606,214172
1578191609,214172
1578191612,214172
1578191615,214172
1578191618,214172
1578191621,214172
1578191624,214172
1578191627,214172
1578191630,214506
1578191633,214506
1578191636,214506
1578191639,214506
1578191642,214506
1578191645,214506
1578191648,214506
1578191651,214840
1578191654,214840
1578191657,214840
1578191660,214840
1578191663,214840
1578191666,214840
1578191669,214840
1578191672,214840
1578191675,214840
1578191678,214840
1578191681,214840
1578191684,214840
1578191687,214840
1578191690,214840
1578191693,214840
1578191696,214840
1578191699,214840
1578191702,214840
1578191705,214840
1578191708,214840
1578191711,214840
1578191714,214840
1578191717,214840
1578191720,214840
1578191723,214840
1578191726,214840
1578191729,214840
1578191732,214840
1578191735,214840
1578191738,214840
1578191741,214840
1578191744,214840
1578191747,214840
1578191750,214840
1578191753,214840
1578191756,214840
1578191759,214840
1578191762,214840
1578191765,214840
1578191768,214840
1578191771,214840
1578191774,214840
1578191777,214840
1578191780,214840
1578191783,214840
1578191786,214840
1578191789,216096
1578191792,216096
1578191795,216096
1578191798,216096
1578191801,216096
1578191804,216096
1578191807,216096
1578191810,216096
1578191813,216096
1578191816,216096
1578191819,216096
1578191822,216096
1578191825,216096
1578191828,216096
1578191831,216096
1578191834,216096
1578191837,216096
1578191840,216096
1578191843,216096
1578191846,216096
1578191849,216096
1578191852,216096
1578191855,216096
1578191858,216096
1578191861,216096
1578191864,216096
1578191867,216096
1578191870,216096
1578191873,216096
1578191876,216096
1578191879,216096
1578191882,216096
1578191885,216096
1578191888,216096
1578191891,216096
1578191894,216096
1578191897,216096
1578191900,216096
1578191903,216096
1578191906,216096
1578191909,216096
1578191912,216096
1578191915,216096
1578191918,216096
1578191921,216096
1578191924,216096
1578191927,216096
1578191930,216096
1578191933,216096
1578191936,216096
1578191939,216096
1578191942,216096
1578191945,216096
1578191948,216096
1578191951,216096
1578191954,216096
1578191957,216096
1578191960,216096
1578191963,216096
1578191966,216096
1578191969,216096
1578191972,216096
1578191975,216096
1578191978,216096
1578191981,216096
1578191984,216096
1578191987,216096
1578191990,216096
1578191993,216096
1578191996,216096
1578191999,216096
1578192002,216096
1578192005,216096
1578192008,216096
1578192011,216096
1578192014,216096
1578192017,216096
1578192020,216096
1578192023,216096
1578192026,216096
1578192029,216096
1578192032,216096
1578192035,216096
1578192038,216096
1578192041,216096
1578192044,216096
1578192047,216096
1578192050,216096
1578192053,216096
1578192056,216096
1578192059,216096
1578192062,216096
1578192065,216096
1578192068,216096
1578192071,216096
1578192074,216096
1578192077,216096
1578192080,216096
1578192083,216096
1578192086,216096
1578192089,216096
1578192092,216096
1578192095,216096
1578192098,216096
1578192101,216096
1578192104,216096
1578192107,216096
1578192110,216096
1578192113,216096
1578192116,216096
1578192119,216096
1578192122,216096
1578192125,216096
1578192128,216096
1578192131,216096
1578192134,216096
1578192137,216096
1578192140,216096
1578192143,216096
1578192146,216096
1578192149,216096
1578192152,216096
1578192155,216096
1578192158,216096
1578192161,216096
1578192164,216096
1578192167,216096
1578192170,216096
1578192173,216096
1578192176,216096
1578192179,216096
1578192182,216096
1578192185,216096
1578192188,216096
1578192191,216096
1578192194,216096
1578192197,216096
1578192200,216096
1578192203,216096
1578192206,216096
1578192209,216096
1578192212,216096
1578192215,216096
1578192218,216096
1578192221,216096
1578192224,216096
1578192227,216096
1578192230,216096
1578192233,216096
1578192236,216096
1578192239,216096
1578192242,216096
1578192245,216096
1578192248,216096
1578192251,216096
1578192254,216096
1578192257,216096
1578192260,216096
1578192263,216096
1578192266,216096
1578192269,216096
1578192272,218183
1578192275,218183
1578192278,218183
1578192281,218183
1578192284,218183
1578192287,218183
1578192290,218183
1578192293,218183
1578192296,218183
1578192299,218183
1578192302,218183
1578192305,218183
1578192308,218183
1578192311,218183
1578192314,218183
1578192317,218183
1578192320,218183
1578192323,218183
1578192326,218183
1578192329,218183
1578192332,218183
1578192335,218183
1578192338,218183
1578192341,218183
1578192344,218183
1578192347,218183
1578192350,220311
