t,value
1578191060,6
1578191063,5
1578191066,10
1578191069,10
1578191072,10
1578191075,10
1578191078,10
1578191081,10
1578191084,10
1578191087,10
1578191090,10
1578191093,10
1578191096,10
1578191099,10
1578191102,10
1578191105,10
1578191108,10
1578191111,10
1578191114,10
1578191117,10
1578191120,10
1578191123,10
1578191126,10
1578191129,10
1578191132,10
1578191135,10
1578191138,10
1578191141,10
1578191144,10
1578191147,10
1578191150,9
1578191153,9
1578191156,9
1578191159,9
1578191162,9
1578191165,9
1578191168,9
1578191171,9
1578191174,9
1578191177,9
1578191180,9
1578191183,9
1578191186,9
1578191189,9
1578191192,9
1578191195,9
1578191198,9
1578191201,9
1578191204,9
1578191207,9
1578191210,9
1578191213,9
1578191216,9
1578191219,9
1578191222,9
1578191225,9
1578191228,9
1578191231,9
1578191234,9
1578191237,9
1578191240,9
1578191243,9
1578191246,9
1578191249,9
1578191252,9
1578191255,9
1578191258,9
1578191261,9
1578191264,9
1578191267,9
1578191270,9
1578191273,9
1578191276,9
1578191279,9
1578191282,9
1578191285,9
1578191288,9
1578191291,9
1578191294,9
1578191297,9
1578191300,9
1578191303,9
1578191306,9
1578191309,9
1578191312,7
1578191315,7
1578191318,7
1578191321,7
1578191324,7
1578191327,7
1578191330,7
1578191333,7
1578191336,7
1578191339,7
1578191342,7
1578191345,7
1578191348,7
1578191351,7
1578191354,7
1578191357,7
1578191360,7
1578191363,7
1578191366,7
1578191369,7
1578191372,7
1578191375,7
1578191378,7
1578191381,7
1578191384,7
1578191387,7
1578191390,7
1578191393,7
1578191396,7
1578191399,7
1578191402,7
1578191405,7
1578191408,7
1578191411,7
1578191414,7
1578191417,7
1578191420,7
1578191423,7
1578191426,7
1578191429,7
1578191432,7
1578191435,7
1578191438,7
1578191441,7
1578191444,7
1578191447,7
1578191450,7
1578191453,7
1578191456,7
1578191459,7
1578191462,7
1578191465,7
1578191468,7
1578191471,7
1578191474,7
1578191477,7
1578191480,7
1578191483,7
1578191486,7
1578191489,7
1578191492,7
1578191495,7
1578191498,7
1578191501,7
1578191504,7
1578191507,7
1578191510,7
1578191513,7
1578191516,7
1578191519,7
1578191522,7
1578191525,7
1578191528,7
1578191531,7
1578191534,7
1578191537,7
1578191540,7
1578191543,7
1578191546,7
1578191549,7
1578191552,7
1578191555,7
1578191558,7
1578191561,7
1578191564,7
1578191567,7
1578191570,7
1578191573,7
1578191576,7
1578191579,7
1578191582,7
1578191585,7
1578191588,7
1578191591,7
1578191594,7
1578191597,7
1578191600,7
1578191603,7
1578191606,7
1578191609,7
1578191612,7
1578191615,7
1578191618,7
1578191621,7
1578191624,7
1578191627,7
1578191630,8
1578191633,8
1578191636,8
1578191639,8
1578191642,8
1578191645,8
1578191648,8
1578191651,9
1578191654,9
1578191657,9
1578191660,9
1578191663,9
1578191666,9
1578191669,9
1578191672,9
1578191675,9
1578191678,9
1578191681,9
1578191684,9
1578191687,9
1578191690,9
1578191693,9
1578191696,9
1578191699,9
1578191702,9
1578191705,9
1578191708,9
1578191711,9
1578191714,9
1578191717,9
1578191720,9
1578191723,9
1578191726,9
1578191729,9
1578191732,9
1578191735,9
1578191738,9
1578191741,9
1578191744,9
1578191747,9
1578191750,9
1578191753,9
1578191756,9
1578191759,9
1578191762,9
1578191765,9
1578191768,9
1578191771,9
1578191774,9
1578191777,9
1578191780,9
1578191783,9
1578191786,9
1578191789,9
1578191792,9
1578191795,9
1578191798,9
1578191801,9
1578191804,9
1578191807,9
1578191810,9
1578191813,9
1578191816,9
1578191819,9
1578191822,9
1578191825,9
1578191828,9
1578191831,9
1578191834,9
1578191837,9
1578191840,9
1578191843,9
1578191846,9
1578191849,9
1578191852,9
1578191855,9
1578191858,9
1578191861,9
1578191864,9
1578191867,9
1578191870,9
1578191873,9
1578191876,9
1578191879,9
1578191882,9
1578191885,9
1578191888,9
1578191891,9
