t,value
1578191060,196626
1578191063,196625
1578191066,266397
1578191069,266397
1578191072,266397
1578191075,266397
1578191078,266397
1578191081,266397
1578191084,266397
1578191087,266397
1578191090,266397
1578191093,266397
1578191096,266397
1578191099,266397
1578191102,266397
1578191105,266397
1578191108,266397
1578191111,266397
1578191114,266397
1578191117,266397
1578191120,266397
1578191123,266397
1578191126,266397
1578191129,266397
1578191132,266397
1578191135,266397
1578191138,266397
1578191141,266397
1578191144,266397
1578191147,266397
1578191150,248989
1578191153,248989
1578191156,248989
1578191159,248989
1578191162,248989
1578191165,248989
1578191168,248989
1578191171,248989
1578191174,248989
1578191177,248989
1578191180,248989
1578191183,248989
1578191186,248989
1578191189,248989
1578191192,248989
1578191195,248989
1578191198,248989
1578191201,248989
1578191204,248989
1578191207,248989
1578191210,248989
1578191213,248989
1578191216,248989
1578191219,248989
1578191222,248989
1578191225,248989
1578191228,248989
1578191231,248989
1578191234,248989
1578191237,248989
1578191240,248989
1578191243,248989
1578191246,248989
1578191249,248989
1578191252,248989
1578191255,248989
1578191258,248989
1578191261,248989
1578191264,248989
1578191267,248989
1578191270,248989
1578191273,248989
1578191276,248989
1578191279,248989
1578191282,248989
1578191285,248989
1578191288,248989
1578191291,248989
1578191294,248989
1578191297,248989
1578191300,248989
1578191303,248989
1578191306,248989
1578191309,248989
1578191312,214173
1578191315,214173
1578191318,214173
1578191321,214173
1578191324,214173
1578191327,214173
1578191330,214173
1578191333,214173
1578191336,214173
1578191339,214173
1578191342,214173
1578191345,214173
1578191348,214173
1578191351,214173
1578191354,214173
1578191357,214173
1578191360,214173
1578191363,214173
1578191366,214173
1578191369,214173
1578191372,214173
1578191375,214173
1578191378,214173
1578191381,214173
1578191384,214173
1578191387,214173
1578191390,214173
1578191393,214173
1578191396,214173
1578191399,214173
1578191402,214173
1578191405,214173
1578191408,214173
1578191411,214173
1578191414,214173
1578191417,214173
1578191420,214173
1578191423,214173
1578191426,214173
1578191429,214173
1578191432,214173
1578191435,214173
1578191438,214173
1578191441,214173
1578191444,214173
1578191447,214173
1578191450,214173
1578191453,214173
1578191456,214173
1578191459,214173
1578191462,214173
1578191465,214173
1578191468,214173
1578191471,214173
1578191474,214173
1578191477,214173
1578191480,214173
1578191483,214173
1578191486,214173
1578191489,214173
1578191492,214173
1578191495,214173
1578191498,214173
1578191501,214173
1578191504,214173
1578191507,214173
1578191510,214173
1578191513,214173
1578191516,214173
1578191519,214173
1578191522,214173
1578191525,214173
1578191528,214173
1578191531,214173
1578191534,214173
1578191537,214173
1578191540,214173
1578191543,214173
1578191546,214173
1578191549,214173
1578191552,214173
1578191555,214173
1578191558,214173
1578191561,214173
1578191564,214173
1578191567,214173
1578191570,214173
1578191573,214173
1578191576,214173
1578191579,214173
1578191582,214173
1578191585,214173
1578191588,214173
1578191591,214173
1578191594,214173
1578191597,214173
1578191600,214173
1578191603,214173
1578191606,214173
1578191609,214173
1578191612,214173
1578191615,214173
1578191618,214173
1578191621,214173
1578191624,214173
1578191627,214173
1578191630,214507
1578191633,214507
1578191636,214507
1578191639,214507
1578191642,214507
1578191645,214507
1578191648,214507
1578191651,214841
1578191654,214841
1578191657,214841
1578191660,214841
1578191663,214841
1578191666,214841
1578191669,214841
1578191672,214841
1578191675,214841
1578191678,214841
1578191681,214841
1578191684,214841
1578191687,214841
1578191690,214841
1578191693,214841
1578191696,214841
1578191699,214841
1578191702,214841
1578191705,214841
1578191708,214841
1578191711,214841
1578191714,214841
1578191717,214841
1578191720,214841
1578191723,214841
1578191726,214841
1578191729,214841
1578191732,214841
1578191735,214841
1578191738,214841
1578191741,214841
1578191744,214841
1578191747,214841
1578191750,214841
1578191753,214841
1578191756,214841
1578191759,214841
1578191762,214841
1578191765,214841
1578191768,214841
1578191771,214841
1578191774,214841
1578191777,214841
1578191780,214841
1578191783,214841
1578191786,214841
1578191789,216097
1578191792,216097
1578191795,216097
1578191798,216097
1578191801,216097
1578191804,216097
1578191807,216097
1578191810,216097
1578191813,216097
1578191816,216097
1578191819,216097
1578191822,216097
1578191825,216097
1578191828,216097
1578191831,216097
1578191834,216097
1578191837,216097
1578191840,216097
1578191843,216097
1578191846,216097
1578191849,216097
1578191852,216097
1578191855,216097
1578191858,216097
1578191861,216097
1578191864,216097
1578191867,216097
1578191870,216097
1578191873,216097
1578191876,216097
1578191879,216097
1578191882,216097
1578191885,216097
1578191888,216097
1578191891,216097
1578191894,216097
1578191897,216097
1578191900,216097
1578191903,216097
1578191906,216097
1578191909,216097
1578191912,216097
1578191915,216097
1578191918,216097
1578191921,216097
1578191924,216097
1578191927,216097
1578191930,216097
1578191933,216097
1578191936,216097
1578191939,216097
1578191942,216097
1578191945,216097
1578191948,216097
1578191951,216097
1578191954,216097
1578191957,216097
1578191960,216097
1578191963,216097
1578191966,216097
1578191969,216097
1578191972,216097
1578191975,216097
1578191978,216097
1578191981,216097
1578191984,216097
1578191987,216097
1578191990,216097
1578191993,216097
1578191996,216097
1578191999,216097
1578192002,216097
1578192005,216097
1578192008,216097
1578192011,216097
1578192014,216097
1578192017,216097
1578192020,216097
1578192023,216097
1578192026,216097
1578192029,216097
1578192032,216097
1578192035,216097
1578192038,216097
1578192041,216097
1578192044,216097
1578192047,216097
1578192050,216097
1578192053,216097
1578192056,216097
1578192059,216097
1578192062,216097
1578192065,216097
1578192068,216097
1578192071,216097
1578192074,216097
1578192077,216097
1578192080,216097
1578192083,216097
1578192086,216097
1578192089,216097
1578192092,216097
1578192095,216097
1578192098,216097
1578192101,216097
1578192104,216097
1578192107,216097
1578192110,216097
1578192113,216097
1578192116,216097
1578192119,216097
1578192122,216097
1578192125,216097
1578192128,216097
1578192131,216097
1578192134,216097
1578192137,216097
1578192140,216097
1578192143,216097
1578192146,216097
1578192149,216097
1578192152,216097
1578192155,216097
1578192158,216097
1578192161,216097
1578192164,216097
1578192167,216097
1578192170,216097
1578192173,216097
1578192176,216097
1578192179,216097
1578192182,216097
1578192185,216097
1578192188,216097
1578192191,216097
1578192194,216097
1578192197,216097
1578192200,216097
1578192203,216097
1578192206,216097
1578192209,216097
1578192212,216097
1578192215,216097
1578192218,216097
1578192221,216097
1578192224,216097
1578192227,216097
1578192230,216097
1578192233,216097
1578192236,216097
1578192239,216097
1578192242,216097
1578192245,216097
1578192248,216097
1578192251,216097
1578192254,216097
1578192257,216097
1578192260,216097
1578192263,216097
1578192266,216097
1578192269,216097
1578192272,218184
1578192275,218184
1578192278,218184
1578192281,218184
1578192284,218184
1578192287,218184
1578192290,218184
1578192293,218184
1578192296,218184
1578192299,218184
1578192302,218184
1578192305,218184
1578192308,218184
1578192311,218184
1578192314,218184
1578192317,218184
1578192320,218184
1578192323,218184
1578192326,218184
1578192329,218184
1578192332,218184
1578192335,218184
1578192338,218184
1578192341,218184
1578192344,218184
1578192347,218184
1578192350,220312
1578192353,220312
1578192356,220312
1578192359,220312
1578192362,220312
1578192365,220312
1578192368,220312
1578192371,220312
1578192374,220312
1578192377,220312
1578192380,220312
1578192383,220312
1578192386,220312
1578192389,220312
1578192392,220312
1578192395,220312
1578192398,220312
1578192401,220312
1578192404,220312
1578192407,220312
1578192410,220312
1578192413,220312
1578192416,220312
1578192419,220312
1578192422,220312
1578192425,220312
1578192428,220312
1578192431,220312
1578192434,220312
1578192437,220312
1578192440,220312
1578192443,220312
1578192446,220312
1578192449,220312
1578192452,220312
1578192455,220312
1578192458,220312
1578192461,220312
1578192464,220312
1578192467,220312
1578192470,220312
1578192473,220312
1578192476,220312
1578192479,220312
1578192482,220312
1578192485,220312
1578192488,220312
1578192491,220312
1578192494,220312
1578192497,220312
1578192500,220312
1578192503,220312
1578192506,220312
1578192509,220312
1578192512,220312
1578192515,220312
1578192518,220312
1578192521,220312
1578192524,220312
1578192527,220312
1578192530,220312
1578192533,220312
1578192536,220312
1578192539,220312
1578192542,220312
1578192545,220312
1578192548,220312
1578192551,220312
1578192554,220312
1578192557,220312
1578192560,220312
1578192563,220312
1578192566,220312
1578192569,220312
1578192572,220312
1578192575,220312
1578192578,220312
1578192581,220312
1578192584,220312
1578192587,220312
1578192590,220312
1578192593,220312
1578192596,220312
1578192599,220312
1578192602,220312
1578192605,220312
1578192608,220312
1578192611,220312
1578192614,220312
1578192617,220312
