t,value
1578191060,9747136
1578191063,12987136
1578191066,13332928
1578191069,13381952
1578191072,13473920
1578191075,13474496
1578191078,13616832
1578191081,18344320
1578191084,18372096
1578191087,18412864
1578191090,18491200
1578191093,18505664
1578191096,18522304
1578191099,18800704
1578191102,18817728
1578191105,18820800
1578191108,18844032
1578191111,18854592
1578191114,18860544
1578191117,18892096
1578191120,19250624
1578191123,19264064
1578191126,19271872
1578191129,19276224
1578191132,19303936
1578191135,19338624
1578191138,19556928
1578191141,19613952
1578191144,19617152
1578191147,19634752
1578191150,19721984
1578191153,19759168
1578191156,19609280
1578191159,19872256
1578191162,20213184
1578191165,20431552
1578191168,20488320
1578191171,20525696
1578191174,20620480
1578191177,20642624
1578191180,20835328
1578191183,20804224
1578191186,20907648
1578191189,20950144
1578191192,20964416
1578191195,20982464
1578191198,21124544
1578191201,21160576
1578191204,21212672
1578191207,21280320
1578191210,21291776
1578191213,21407168
1578191216,21416064
1578191219,21683136
1578191222,21844480
1578191225,21917312
1578191228,21942336
1578191231,21967936
1578191234,21972672
1578191237,21982720
1578191240,22933632
1578191243,22933632
1578191246,22934528
1578191249,22842944
1578191252,22843136
1578191255,22868416
1578191258,23223808
1578191261,23393152
1578191264,23401536
1578191267,23418816
1578191270,23491648
1578191273,23582976
1578191276,24665408
1578191279,24944384
1578191282,25233600
1578191285,25246592
1578191288,25785024
1578191291,25945792
1578191294,25963136
1578191297,26073280
1578191300,26276288
1578191303,26628992
1578191306,26658048
1578191309,26734080
1578191312,27379904
1578191315,27402240
1578191318,28054080
1578191321,28348544
1578191324,28592704
1578191327,28750464
1578191330,29027264
1578191333,29027264
1578191336,29027264
1578191339,29087040
1578191342,29087040
1578191345,29093248
1578191348,29093248
1578191351,29093248
1578191354,29093248
1578191357,28613184
1578191360,27453120
1578191363,27453120
1578191366,27519040
1578191369,27642432
1578191372,27663104
1578191375,27663104
1578191378,27801024
1578191381,27995712
1578191384,28023552
1578191387,28195584
1578191390,28405184
1578191393,28409792
1578191396,28437952
1578191399,28647680
1578191402,28726592
1578191405,28918976
1578191408,28954368
1578191411,29075712
1578191414,29103552
1578191417,29111616
1578191420,29156224
1578191423,29156224
1578191426,29156224
1578191429,29155392
1578191432,29150144
1578191435,29150144
1578191438,29175680
1578191441,29199808
1578191444,29286976
1578191447,29318272
1578191450,29342528
1578191453,29345728
1578191456,29386496
1578191459,29480576
1578191462,29480576
1578191465,29480576
1578191468,29480576
1578191471,29480576
1578191474,29482496
1578191477,29513600
1578191480,29542400
1578191483,29544320
1578191486,29544320
1578191489,29502592
1578191492,29502592
1578191495,29502592
1578191498,29496512
1578191501,29414080
1578191504,29405952
1578191507,29405952
1578191510,29405952
1578191513,29393280
1578191516,29393280
1578191519,29178496
1578191522,29178496
1578191525,29178496
1578191528,29178496
1578191531,29188672
1578191534,29188672
1578191537,29213504
1578191540,29297408
1578191543,29297408
1578191546,29464192
1578191549,29464192
1578191552,29480832
1578191555,29490368
1578191558,28877888
1578191561,28884992
1578191564,28886336
1578191567,28958720
1578191570,28959232
1578191573,28984704
1578191576,29014528
1578191579,29016448
1578191582,29029248
1578191585,29049408
1578191588,29049408
1578191591,29049408
1578191594,29053248
1578191597,29084608
1578191600,29117504
1578191603,29120384
1578191606,29127168
1578191609,29145984
1578191612,29201216
1578191615,29202048
1578191618,29239552
1578191621,29247552
1578191624,29342400
1578191627,29361984
1578191630,29559552
1578191633,29708992
1578191636,29743232
1578191639,29673536
1578191642,29746432
1578191645,29746432
1578191648,29760192
1578191651,29874624
1578191654,29888576
1578191657,29910528
1578191660,29951360
1578191663,29983872
1578191666,29985728
1578191669,29989696
1578191672,30072768
1578191675,30145280
1578191678,30257728
1578191681,30262464
1578191684,30266240
1578191687,30266240
1578191690,30269120
1578191693,30269120
1578191696,30272704
1578191699,30350272
1578191702,30372224
1578191705,30432576
1578191708,30432576
1578191711,30463744
1578191714,30480960
1578191717,30525952
1578191720,30595136
1578191723,30595136
1578191726,31569984
1578191729,33427584
1578191732,33438272
1578191735,33438272
1578191738,33458368
1578191741,33456192
1578191744,33417664
1578191747,33417664
1578191750,33417664
1578191753,33408832
1578191756,33408832
1578191759,33463040
1578191762,33487168
1578191765,33518400
1578191768,33570112
1578191771,33590400
1578191774,33627200
1578191777,33387328
1578191780,33456576
1578191783,33456576
1578191786,33552192
1578191789,32907520
1578191792,32916544
1578191795,32919680
1578191798,32960448
1578191801,33034816
1578191804,33056512
1578191807,33097216
1578191810,33278912
1578191813,33278912
1578191816,33278912
1578191819,33271936
1578191822,33271168
1578191825,33246080
1578191828,33254784
1578191831,33299648
1578191834,33299648
1578191837,33309504
1578191840,33391552
1578191843,33393920
1578191846,33401152
1578191849,33405184
1578191852,33438976
1578191855,33430464
1578191858,32735936
1578191861,32728896
1578191864,32811456
1578191867,32833472
1578191870,32833472
1578191873,32833472
1578191876,32831680
1578191879,32750144
1578191882,32768448
1578191885,32849664
1578191888,32849664
1578191891,33848000
1578191894,33850432
1578191897,33853568
1578191900,33908224
1578191903,33996992
1578191906,34038272
1578191909,34041472
1578191912,34041472
1578191915,34091328
1578191918,34094272
1578191921,34090112
1578191924,34088704
1578191927,34088704
1578191930,34088704
1578191933,34088704
1578191936,34088704
1578191939,34048960
1578191942,34048960
1578191945,34048960
1578191948,34048960
1578191951,34035072
1578191954,34089536
1578191957,34704320
1578191960,34716608
1578191963,34716608
1578191966,34717312
1578191969,34717312
1578191972,34717312
1578191975,34717312
1578191978,34741824
1578191981,34765568
1578191984,34766592
1578191987,34766592
1578191990,34766592
1578191993,34766592
1578191996,34766592
1578191999,34771136
1578192002,34771136
1578192005,34771136
1578192008,34772544
1578192011,34772544
1578192014,34772544
1578192017,34800704
1578192020,34818816
1578192023,34818816
1578192026,34818816
1578192029,34821952
1578192032,34848320
1578192035,34857984
1578192038,34884544
1578192041,34901568
1578192044,34937216
1578192047,34939968
1578192050,34945856
1578192053,34949824
1578192056,34952000
1578192059,34967872
1578192062,34967872
1578192065,34986688
1578192068,34986688
1578192071,34990976
1578192074,34990976
1578192077,34999104
1578192080,34993792
1578192083,34993792
1578192086,34993792
1578192089,34993792
1578192092,34993792
1578192095,34993792
1578192098,34953152
1578192101,34955392
1578192104,34955392
1578192107,34968960
1578192110,34968960
1578192113,34968960
1578192116,34971584
1578192119,35010688
1578192122,35010688
1578192125,34967232
1578192128,34967232
1578192131,34967232
1578192134,34948736
1578192137,34951040
1578192140,34970048
1578192143,35061824
1578192146,35124288
1578192149,35222016
1578192152,35226048
1578192155,35238272
1578192158,35247808
1578192161,35250112
1578192164,35279872
1578192167,35279872
1578192170,35279872
1578192173,35279872
1578192176,35279872
1578192179,35284928
1578192182,35284928
1578192185,35284928
1578192188,35289280
1578192191,35326144
1578192194,35327232
1578192197,35343040
1578192200,35414464
1578192203,35466112
1578192206,35492864
1578192209,35552256
1578192212,35625216
1578192215,35644288
1578192218,35687936
1578192221,35828224
1578192224,35828224
1578192227,35828224
1578192230,35828224
1578192233,35828224
1578192236,35828224
1578192239,35834560
1578192242,35843392
1578192245,35847488
1578192248,35864256
1578192251,35878912
1578192254,35878912
1578192257,35965376
1578192260,35987520
1578192263,35978880
1578192266,36051264
1578192269,36051264
1578192272,36293952
1578192275,36284096
1578192278,36276160
1578192281,36276160
1578192284,36277120
1578192287,36379136
1578192290,36400320
1578192293,36400320
1578192296,36400320
1578192299,36481472
1578192302,36481472
1578192305,36481472
1578192308,36481472
1578192311,36483904
1578192314,36018560
1578192317,36063744
1578192320,36143424
1578192323,36143424
1578192326,36144128
1578192329,36149440
1578192332,36151104
1578192335,36151104
1578192338,35924800
1578192341,35937472
1578192344,35937472
1578192347,35937472
1578192350,36641024
1578192353,36188352
1578192356,36188352
1578192359,36197696
1578192362,36197696
1578192365,36197696
1578192368,36217152
1578192371,36217152
1578192374,36217152
1578192377,36283392
1578192380,36332864
1578192383,36332864
1578192386,36365504
1578192389,36365504
1578192392,36365504
1578192395,36382656
1578192398,36397696
1578192401,36513984
1578192404,36532608
1578192407,36532608
1578192410,36598144
1578192413,36598144
1578192416,36642176
1578192419,36716096
1578192422,36716096
1578192425,36716096
1578192428,36740864
1578192431,36745664
1578192434,36745664
1578192437,36787840
1578192440,36889408
1578192443,36907648
1578192446,36932288
1578192449,36937728
1578192452,36981952
1578192455,36982720
1578192458,37006656
1578192461,37006528
1578192464,37016384
1578192467,37018880
1578192470,37018880
1578192473,37018880
1578192476,37076608
1578192479,37103040
1578192482,37186432
1578192485,37194048
1578192488,37239104
1578192491,37252480
1578192494,37253952
1578192497,37241152
1578192500,37235904
1578192503,37235904
1578192506,37329088
1578192509,37329088
1578192512,37331200
1578192515,37331200
1578192518,37451072
1578192521,37449472
1578192524,37449472
1578192527,37450496
1578192530,37429696
1578192533,37441408
1578192536,37441408
1578192539,37464768
1578192542,37464768
1578192545,37464768
1578192548,37718272
1578192551,37783232
1578192554,37800384
1578192557,37809472
1578192560,37816320
1578192563,37816320
1578192566,37816320
1578192569,37816320
1578192572,37816320
1578192575,37823232
1578192578,37817088
1578192581,37830784
1578192584,37830784
1578192587,37830784
1578192590,37830784
1578192593,37811904
1578192596,37785600
1578192599,37012672
1578192602,37012672
1578192605,37012672
1578192608,37012672
1578192611,37012672
1578192614,37012672
1578192617,37022272
1578192620,37034304
1578192623,37034304
1578192626,37095680
1578192629,37102976
1578192632,37102528
1578192635,37106688
1578192638,37148992
1578192641,37172032
1578192644,37172032
1578192647,37172032
1578192650,37188224
1578192653,37188224
1578192656,37219776
1578192659,37221312
1578192662,37221312
1578192665,37223616
1578192668,37186368
1578192671,37197888
1578192674,37200448
1578192677,37200448
1578192680,37227904
1578192683,37238336
1578192686,37240448
1578192689,37240448
1578192692,37240448
1578192695,37241920
1578192698,37235648
1578192701,37235648
1578192704,37237312
1578192707,37237312
1578192710,37237312
1578192713,37237312
1578192716,37237312
1578192719,37152704
1578192722,37152704
1578192725,37152704
1578192728,37152704
1578192731,37152704
1578192734,37019392
1578192737,37005120
1578192740,37013056
1578192743,37013056
1578192746,37013056
1578192749,37013056
1578192752,37013056
1578192755,37013056
1578192758,37013632
1578192761,37013632
1578192764,37013632
1578192767,37013632
1578192770,37013632
1578192773,37013632
1578192776,37013632
1578192779,37020864
1578192782,37020864
1578192785,37020864
1578192788,37020864
1578192791,37020864
1578192794,37020864
1578192797,37020864
1578192800,37033536
1578192803,37033536
1578192806,37033536
1578192809,37033536
1578192812,37033536
1578192815,37033536
1578192818,37036800
1578192821,37038720
1578192824,37038720
1578192827,37038720
1578192830,37038720
1578192833,37045056
1578192836,37045056
1578192839,37056000
1578192842,37056000
1578192845,37056000
1578192848,37056000
1578192851,37073472
1578192854,37073472
1578192857,37100608
1578192860,37139712
1578192863,37187968
1578192866,37187968
1578192869,37187968
1578192872,37187968
1578192875,37187968
1578192878,37190848
1578192881,37172096
1578192884,37172096
1578192887,37172096
1578192890,37172096
1578192893,37172096
1578192896,37187328
1578192899,37287808
1578192902,37289024
1578192905,37305664
1578192908,37323584
1578192911,37425984
1578192914,37427904
1578192917,37476224
1578192920,37518016
1578192923,37517568
1578192926,37517568
1578192929,37517568
1578192932,37517568
1578192935,37517568
1578192938,37635904
1578192941,37692992
1578192944,37699008
1578192947,37761536
1578192950,37776960
1578192953,37776960
1578192956,37785792
1578192959,37837504
1578192962,37839424
1578192965,37822848
1578192968,37822848
1578192971,37822848
1578192974,37822848
1578192977,37827072
1578192980,37835264
1578192983,37845440
1578192986,37846720
1578192989,37848384
1578192992,37880832
1578192995,37880832
1578192998,37915904
1578193001,38061312
1578193004,38087168
1578193007,38087168
1578193010,38147648
1578193013,38176000
1578193016,38253824
1578193019,38301696
1578193022,38387328
1578193025,38398848
1578193028,38510208
1578193031,38541056
1578193034,38046848
1578193037,38065792
1578193040,38086976
1578193043,38092992
1578193046,38107840
1578193049,38116608
1578193052,38136320
1578193055,38145024
1578193058,38065088
1578193061,38072768
1578193064,38072768
1578193067,38072768
1578193070,38074624
1578193073,38074624
1578193076,38074624
1578193079,38124736
1578193082,38160960
1578193085,38161472
1578193088,38167616
1578193091,38179968
1578193094,38179968
1578193097,38200832
1578193100,38170496
1578193103,38170496
1578193106,38234880
1578193109,38234880
1578193112,38234880
1578193115,38234880
1578193118,38249984
1578193121,38273024
1578193124,38279360
1578193127,38281152
1578193130,38281152
1578193133,38281152
1578193136,38281152
1578193139,38371584
1578193142,38371584
1578193145,38371584
1578193148,38371584
1578193151,38371584
1578193154,38391808
1578193157,38371072
1578193160,38396800
1578193163,38399488
1578193166,38399488
1578193169,38401536
1578193172,38424768
1578193175,38425792
1578193178,38433856
1578193181,38433856
1578193184,38433856
1578193187,38428736
1578193190,38426944
1578193193,38426944
1578193196,38370496
1578193199,38349568
1578193202,38410048
1578193205,38427456
1578193208,38435776
1578193211,38435776
1578193214,38435776
1578193217,38435776
1578193220,38462464
1578193223,38472512
1578193226,38479936
1578193229,38479936
1578193232,38501312
1578193235,38501312
1578193238,38501312
1578193241,38505280
1578193244,38505280
1578193247,38505280
1578193250,38505280
1578193253,38505280
1578193256,38505280
1578193259,38495936
1578193262,38498112
1578193265,38498112
1578193268,38493952
1578193271,38493952
