t,value
1578191060,6012368
1578191063,9529936
1578191066,10110728
1578191069,10113800
1578191072,10113800
1578191075,10113800
1578191078,10381584
1578191081,10869936
1578191084,10869936
1578191087,10869936
1578191090,10869936
1578191093,10869936
1578191096,10869936
1578191099,10873112
1578191102,10873112
1578191105,10873112
1578191108,10873112
1578191111,10873112
1578191114,10873112
1578191117,10873728
1578191120,10873728
1578191123,10873728
1578191126,10873728
1578191129,10873728
1578191132,10893912
1578191135,10893912
1578191138,10896088
1578191141,10896656
1578191144,10896656
1578191147,10896656
1578191150,11009416
1578191153,11009416
1578191156,11011200
1578191159,11011200
1578191162,11012816
1578191165,11014520
1578191168,11015088
1578191171,11015088
1578191174,11015088
1578191177,11015088
1578191180,11015088
1578191183,11015088
1578191186,11016224
1578191189,11016224
1578191192,11016224
1578191195,11016224
1578191198,11016224
1578191201,11017352
1578191204,11017352
1578191207,11017352
1578191210,11017352
1578191213,11017352
1578191216,11017352
1578191219,11017352
1578191222,11017920
1578191225,11017920
1578191228,11017920
1578191231,11017920
1578191234,11017920
1578191237,11017920
1578191240,11018896
1578191243,11018896
1578191246,11018896
1578191249,11020032
1578191252,11020032
1578191255,11020032
1578191258,11020032
1578191261,11020600
1578191264,11020600
1578191267,11020600
1578191270,11020600
1578191273,11020600
1578191276,11020600
1578191279,11020600
1578191282,11020600
1578191285,11020600
1578191288,11020600
1578191291,11020600
1578191294,11020600
1578191297,11020600
1578191300,11020600
1578191303,11020600
1578191306,11020600
1578191309,11020600
1578191312,12417320
1578191315,12417320
1578191318,12420160
1578191321,12421224
1578191324,12422360
1578191327,12422360
1578191330,12422360
1578191333,12422360
1578191336,12422360
1578191339,12422360
1578191342,12422360
1578191345,12422360
1578191348,12422360
1578191351,12422360
1578191354,12422360
1578191357,12422360
1578191360,12423496
1578191363,12423496
1578191366,12423496
1578191369,12423496
1578191372,12423496
1578191375,12423496
1578191378,12426336
1578191381,12427952
1578191384,12427952
1578191387,12427952
1578191390,12427952
1578191393,12427952
1578191396,12427952
1578191399,12427952
1578191402,12427952
1578191405,12427952
1578191408,12427952
1578191411,12427952
1578191414,12427952
1578191417,12427952
1578191420,12427952
1578191423,12427952
1578191426,12427952
1578191429,12427952
1578191432,12427952
1578191435,12427952
1578191438,12427952
1578191441,12427952
1578191444,12427952
1578191447,12427952
1578191450,12427952
1578191453,12427952
1578191456,12427952
1578191459,12427952
1578191462,12427952
1578191465,12427952
1578191468,12427952
1578191471,12427952
1578191474,12427952
1578191477,12427952
1578191480,12427952
1578191483,12427952
1578191486,12427952
1578191489,12427952
1578191492,12427952
1578191495,12427952
1578191498,12427952
1578191501,12427952
1578191504,12427952
1578191507,12427952
1578191510,12427952
1578191513,12427952
1578191516,12427952
1578191519,12427952
1578191522,12427952
1578191525,12427952
1578191528,12427952
1578191531,12427952
1578191534,12427952
1578191537,12427952
1578191540,12427952
1578191543,12427952
1578191546,12427952
1578191549,12427952
1578191552,12427952
1578191555,12427952
1578191558,12427952
1578191561,12427952
1578191564,12427952
1578191567,12427952
1578191570,12427952
1578191573,12427952
1578191576,12427952
1578191579,12427952
1578191582,12427952
1578191585,12427952
1578191588,12427952
1578191591,12427952
1578191594,12427952
1578191597,12433480
1578191600,12433480
1578191603,12433480
1578191606,12433480
1578191609,12433480
1578191612,12433480
1578191615,12433480
1578191618,12433480
1578191621,12434456
1578191624,12434456
1578191627,12434456
1578191630,12668928
1578191633,12670592
1578191636,12670592
1578191639,12675552
1578191642,12675552
1578191645,12675552
1578191648,12675552
1578191651,12710856
1578191654,12711360
1578191657,12711360
1578191660,12748040
1578191663,12750464
1578191666,12750464
1578191669,12750464
1578191672,12750464
1578191675,12751008
1578191678,12751008
1578191681,12751008
1578191684,12751008
1578191687,12751008
1578191690,12751008
1578191693,12751008
1578191696,12751008
1578191699,12751008
1578191702,12751504
1578191705,12751504
1578191708,12751504
1578191711,12751504
1578191714,12751504
1578191717,12751504
1578191720,12751504
1578191723,12751504
1578191726,12777160
1578191729,12957936
1578191732,12957936
1578191735,12957936
1578191738,12957936
1578191741,12957936
1578191744,12959168
1578191747,12959168
1578191750,12959168
1578191753,12966768
1578191756,12966768
1578191759,12966768
1578191762,12966768
1578191765,12966768
1578191768,12966768
1578191771,12966768
1578191774,12966768
1578191777,12966768
1578191780,12966768
1578191783,12966768
1578191786,12966768
1578191789,12970264
1578191792,12970264
1578191795,12970264
1578191798,12970264
1578191801,12970264
1578191804,12970264
1578191807,12971480
1578191810,13051096
1578191813,13051096
1578191816,13051096
1578191819,13051096
1578191822,13051096
1578191825,13051096
1578191828,13051096
1578191831,13051096
1578191834,13051096
1578191837,13051096
1578191840,13051096
1578191843,13051096
1578191846,13051096
1578191849,13051096
1578191852,13052072
1578191855,13061912
