t,value
1578191060,122683392
1578191063,106954752
1578191066,152043520
1578191069,153092096
1578191072,153092096
1578191075,154140672
1578191078,181403648
1578191081,255852544
1578191084,255852544
1578191087,255852544
1578191090,256901120
1578191093,257949696
1578191096,257949696
1578191099,263192576
1578191102,263192576
1578191105,264241152
1578191108,264241152
1578191111,265289728
1578191114,265289728
1578191117,267386880
1578191120,271581184
1578191123,272629760
1578191126,272629760
1578191129,272629760
1578191132,276824064
1578191135,276824064
1578191138,281018368
1578191141,282066944
1578191144,282066944
1578191147,282066944
1578191150,7340032
1578191153,8388608
1578191156,10485760
1578191159,16777216
1578191162,17825792
1578191165,19922944
1578191168,22020096
1578191171,23068672
1578191174,25165824
1578191177,26214400
1578191180,30408704
1578191183,30408704
1578191186,32505856
1578191189,33554432
1578191192,33554432
1578191195,35651584
1578191198,39845888
1578191201,40894464
1578191204,41943040
1578191207,42991616
1578191210,44040192
1578191213,45088768
1578191216,45088768
1578191219,51380224
1578191222,54525952
1578191225,54525952
1578191228,55574528
1578191231,56623104
1578191234,56623104
1578191237,57671680
1578191240,63963136
1578191243,63963136
1578191246,65011712
1578191249,67108864
1578191252,70254592
1578191255,71303168
1578191258,78643200
1578191261,80740352
1578191264,80740352
1578191267,83886080
1578191270,87031808
1578191273,90177536
1578191276,97517568
1578191279,102760448
1578191282,116391936
1578191285,116391936
1578191288,137363456
1578191291,142606336
1578191294,150994944
1578191297,154140672
1578191300,160432128
1578191303,176160768
1578191306,178257920
1578191309,181403648
1578191312,48234496
1578191315,49283072
1578191318,62914560
1578191321,72351744
1578191324,80740352
1578191327,90177536
1578191330,98566144
1578191333,98566144
1578191336,99614720
1578191339,103809024
1578191342,103809024
1578191345,104857600
1578191348,104857600
1578191351,104857600
1578191354,105906176
1578191357,106954752
1578191360,111149056
1578191363,111149056
1578191366,116391936
1578191369,124780544
1578191372,125829120
1578191375,125829120
1578191378,135266304
1578191381,147849216
1578191384,152043520
1578191387,165675008
1578191390,181403648
1578191393,182452224
1578191396,186646528
1578191399,199229440
1578191402,207618048
1578191405,216006656
1578191408,220200960
1578191411,229638144
1578191414,233832448
1578191417,234881024
1578191420,243269632
1578191423,243269632
1578191426,243269632
1578191429,244318208
1578191432,244318208
1578191435,245366784
1578191438,261095424
1578191441,262144000
1578191444,262144000
1578191447,263192576
1578191450,264241152
1578191453,264241152
1578191456,269484032
1578191459,273678336
1578191462,273678336
1578191465,274726912
1578191468,274726912
1578191471,274726912
1578191474,275775488
1578191477,276824064
1578191480,279969792
1578191483,281018368
1578191486,281018368
1578191489,286261248
1578191492,287309824
1578191495,287309824
1578191498,291504128
1578191501,0
1578191504,0
1578191507,1048576
1578191510,1048576
1578191513,2097152
1578191516,2097152
1578191519,7340032
1578191522,7340032
1578191525,8388608
1578191528,8388608
1578191531,8388608
1578191534,9437184
1578191537,10485760
1578191540,14680064
1578191543,15728640
1578191546,24117248
1578191549,25165824
1578191552,25165824
1578191555,30408704
1578191558,34603008
1578191561,35651584
1578191564,36700160
1578191567,41943040
1578191570,41943040
1578191573,41943040
1578191576,42991616
1578191579,50331648
1578191582,51380224
1578191585,55574528
1578191588,55574528
1578191591,56623104
1578191594,57671680
1578191597,65011712
1578191600,68157440
1578191603,69206016
1578191606,70254592
1578191609,71303168
1578191612,77594624
1578191615,77594624
1578191618,82837504
1578191621,83886080
1578191624,89128960
1578191627,90177536
1578191630,108003328
1578191633,112197632
1578191636,113246208
1578191639,117440512
1578191642,118489088
1578191645,118489088
1578191648,119537664
1578191651,127926272
1578191654,128974848
1578191657,130023424
1578191660,135266304
1578191663,137363456
1578191666,137363456
1578191669,138412032
1578191672,139460608
1578191675,143654912
1578191678,147849216
1578191681,148897792
1578191684,148897792
1578191687,149946368
1578191690,149946368
1578191693,149946368
1578191696,150994944
1578191699,155189248
1578191702,156237824
1578191705,158334976
1578191708,158334976
1578191711,163577856
1578191714,163577856
1578191717,164626432
1578191720,168820736
1578191723,169869312
1578191726,128974848
1578191729,208666624
1578191732,208666624
1578191735,208666624
1578191738,213909504
1578191741,216006656
1578191744,220200960
1578191747,221249536
1578191750,221249536
1578191753,231735296
1578191756,231735296
1578191759,244318208
1578191762,249561088
1578191765,258998272
1578191768,269484032
1578191771,274726912
1578191774,285212672
1578191777,291504128
1578191780,306184192
1578191783,306184192
1578191786,311427072
1578191789,16777216
1578191792,18874368
1578191795,19922944
1578191798,24117248
1578191801,29360128
1578191804,29360128
1578191807,32505856
1578191810,47185920
1578191813,47185920
1578191816,48234496
1578191819,52428800
1578191822,53477376
1578191825,53477376
1578191828,54525952
1578191831,54525952
1578191834,56623104
1578191837,56623104
1578191840,61865984
1578191843,61865984
1578191846,62914560
1578191849,65011712
1578191852,65011712
1578191855,68157440
1578191858,74448896
1578191861,80740352
1578191864,84934656
1578191867,85983232
1578191870,85983232
1578191873,85983232
1578191876,87031808
1578191879,91226112
1578191882,93323264
1578191885,97517568
1578191888,98566144
1578191891,117440512
1578191894,117440512
1578191897,122683392
1578191900,131072000
1578191903,139460608
1578191906,143654912
1578191909,148897792
1578191912,148897792
1578191915,149946368
1578191918,154140672
1578191921,155189248
1578191924,155189248
1578191927,155189248
1578191930,156237824
1578191933,156237824
1578191936,157286400
1578191939,161480704
1578191942,162529280
1578191945,162529280
1578191948,163577856
1578191951,163577856
1578191954,165675008
1578191957,166723584
1578191960,170917888
1578191963,171966464
1578191966,171966464
1578191969,171966464
1578191972,173015040
1578191975,173015040
1578191978,178257920
1578191981,178257920
1578191984,178257920
1578191987,179306496
1578191990,179306496
1578191993,180355072
1578191996,180355072
1578191999,184549376
1578192002,185597952
1578192005,185597952
1578192008,186646528
1578192011,186646528
1578192014,186646528
1578192017,187695104
