t,value
1578191060,6291464
1578191063,6815744
1578191066,6815744
1578191069,6815744
1578191072,6815744
1578191075,6815744
1578191078,6815744
1578191081,6815744
1578191084,6815744
1578191087,6815744
1578191090,6815744
1578191093,6815744
1578191096,6815744
1578191099,6815744
1578191102,6815744
1578191105,6815744
1578191108,6815744
1578191111,6815744
1578191114,6815744
1578191117,6815744
1578191120,6815744
1578191123,6815744
1578191126,6815744
1578191129,6815744
1578191132,6815744
1578191135,6815744
1578191138,6815744
1578191141,6815744
1578191144,6815744
1578191147,6815744
1578191150,10477064
1578191153,10477064
1578191156,10477064
1578191159,10477064
1578191162,10477064
1578191165,10477064
1578191168,10477064
1578191171,10477064
1578191174,10477064
1578191177,10477064
1578191180,10477064
1578191183,10477064
1578191186,10477064
1578191189,10477064
1578191192,10477064
1578191195,10477064
1578191198,10477064
1578191201,10477064
1578191204,10477064
1578191207,10477064
1578191210,10477064
1578191213,10477064
1578191216,10477064
1578191219,10477064
1578191222,10477064
1578191225,10477064
1578191228,10477064
1578191231,10477064
1578191234,10477064
1578191237,10477064
1578191240,10477064
1578191243,10477064
1578191246,10477064
1578191249,10477064
1578191252,10477064
1578191255,10477064
1578191258,10477064
1578191261,10477064
1578191264,10477064
1578191267,10477064
1578191270,10477064
1578191273,10477064
1578191276,10477064
1578191279,10477064
1578191282,10477064
1578191285,10477064
1578191288,10477064
1578191291,10477064
1578191294,10477064
1578191297,10477064
1578191300,10477064
1578191303,10477064
1578191306,10477064
1578191309,10477064
1578191312,25516544
1578191315,25516544
1578191318,25516544
1578191321,25516544
1578191324,25516544
1578191327,25516544
1578191330,25516544
1578191333,25516544
1578191336,25516544
1578191339,25516544
1578191342,25516544
1578191345,25516544
1578191348,25516544
1578191351,25516544
1578191354,25516544
1578191357,25516544
1578191360,25516544
1578191363,25516544
1578191366,25516544
1578191369,25516544
1578191372,25516544
1578191375,25516544
1578191378,25516544
1578191381,25516544
1578191384,25516544
1578191387,25516544
1578191390,25516544
1578191393,25516544
