t,value
1578191060,26214400
1578191063,31457280
1578191066,31457280
1578191069,31457280
1578191072,31457280
1578191075,31457280
1578191078,31457280
1578191081,31457280
1578191084,31457280
1578191087,31457280
1578191090,31457280
1578191093,31457280
1578191096,31457280
1578191099,31457280
1578191102,31457280
1578191105,31457280
1578191108,31457280
1578191111,31457280
1578191114,31457280
1578191117,31457280
1578191120,31457280
1578191123,31457280
1578191126,31457280
1578191129,31457280
1578191132,31457280
1578191135,31457280
1578191138,31457280
1578191141,31457280
1578191144,31457280
1578191147,31457280
1578191150,39845888
1578191153,39845888
1578191156,39845888
1578191159,39845888
1578191162,39845888
1578191165,39845888
1578191168,39845888
1578191171,39845888
1578191174,39845888
1578191177,39845888
1578191180,39845888
1578191183,39845888
1578191186,39845888
1578191189,39845888
1578191192,39845888
1578191195,39845888
1578191198,39845888
1578191201,39845888
1578191204,39845888
1578191207,39845888
1578191210,39845888
1578191213,39845888
1578191216,39845888
1578191219,39845888
1578191222,39845888
1578191225,39845888
1578191228,39845888
1578191231,39845888
1578191234,39845888
1578191237,39845888
1578191240,39845888
1578191243,39845888
1578191246,39845888
1578191249,39845888
1578191252,39845888
1578191255,39845888
1578191258,39845888
1578191261,39845888
1578191264,39845888
1578191267,39845888
1578191270,39845888
1578191273,39845888
1578191276,39845888
1578191279,39845888
1578191282,39845888
1578191285,39845888
1578191288,39845888
1578191291,39845888
1578191294,39845888
1578191297,39845888
1578191300,39845888
1578191303,39845888
1578191306,39845888
1578191309,39845888
1578191312,25165824
1578191315,25165824
1578191318,25165824
1578191321,25165824
1578191324,25165824
1578191327,25165824
1578191330,25165824
1578191333,25165824
1578191336,25165824
1578191339,25165824
1578191342,25165824
1578191345,25165824
1578191348,25165824
1578191351,25165824
1578191354,25165824
1578191357,25165824
1578191360,25165824
1578191363,25165824
1578191366,25165824
1578191369,25165824
1578191372,25165824
1578191375,25165824
1578191378,25165824
1578191381,25165824
1578191384,25165824
1578191387,25165824
1578191390,25165824
1578191393,25165824
1578191396,25165824
1578191399,25165824
1578191402,25165824
1578191405,25165824
1578191408,25165824
1578191411,25165824
1578191414,25165824
1578191417,25165824
1578191420,25165824
1578191423,25165824
1578191426,25165824
1578191429,25165824
1578191432,25165824
1578191435,25165824
1578191438,25165824
1578191441,25165824
1578191444,25165824
1578191447,25165824
1578191450,25165824
1578191453,25165824
1578191456,25165824
1578191459,25165824
1578191462,25165824
1578191465,25165824
1578191468,25165824
1578191471,25165824
1578191474,25165824
1578191477,25165824
1578191480,25165824
1578191483,25165824
1578191486,25165824
1578191489,25165824
1578191492,25165824
1578191495,25165824
1578191498,25165824
1578191501,24117248
1578191504,24117248
1578191507,24117248
1578191510,24117248
1578191513,24117248
1578191516,24117248
1578191519,24117248
1578191522,24117248
1578191525,24117248
1578191528,24117248
1578191531,24117248
1578191534,24117248
1578191537,24117248
1578191540,24117248
1578191543,24117248
1578191546,24117248
1578191549,24117248
1578191552,24117248
1578191555,24117248
1578191558,24117248
1578191561,24117248
1578191564,24117248
1578191567,24117248
1578191570,24117248
1578191573,24117248
1578191576,24117248
1578191579,24117248
1578191582,24117248
1578191585,24117248
1578191588,24117248
1578191591,24117248
1578191594,24117248
1578191597,24117248
1578191600,24117248
1578191603,24117248
1578191606,24117248
1578191609,24117248
1578191612,24117248
1578191615,24117248
1578191618,24117248
1578191621,24117248
1578191624,24117248
1578191627,24117248
1578191630,24117248
1578191633,24117248
1578191636,24117248
1578191639,24117248
1578191642,24117248
1578191645,24117248
1578191648,24117248
1578191651,24117248
1578191654,24117248
1578191657,24117248
1578191660,24117248
1578191663,24117248
1578191666,24117248
1578191669,24117248
1578191672,24117248
1578191675,24117248
1578191678,24117248
1578191681,24117248
1578191684,24117248
1578191687,24117248
1578191690,24117248
1578191693,24117248
1578191696,24117248
1578191699,24117248
1578191702,24117248
1578191705,24117248
1578191708,24117248
1578191711,24117248
1578191714,24117248
1578191717,24117248
1578191720,24117248
1578191723,24117248
1578191726,22020096
1578191729,5242880
1578191732,5242880
1578191735,5242880
1578191738,5242880
1578191741,5242880
1578191744,5242880
1578191747,5242880
1578191750,5242880
1578191753,5242880
1578191756,5242880
1578191759,5242880
1578191762,5242880
1578191765,5242880
1578191768,5242880
1578191771,5242880
1578191774,5242880
1578191777,5242880
1578191780,5242880
1578191783,5242880
1578191786,5242880
1578191789,10485760
1578191792,10485760
1578191795,10485760
1578191798,10485760
1578191801,10485760
1578191804,10485760
1578191807,10485760
1578191810,10485760
1578191813,10485760
1578191816,10485760
1578191819,10485760
1578191822,10485760
1578191825,10485760
1578191828,10485760
1578191831,10485760
1578191834,10485760
1578191837,10485760
1578191840,10485760
1578191843,10485760
1578191846,10485760
1578191849,10485760
1578191852,10485760
1578191855,10485760
1578191858,10485760
1578191861,10485760
1578191864,10485760
1578191867,10485760
1578191870,10485760
1578191873,10485760
1578191876,10485760
1578191879,10485760
1578191882,10485760
1578191885,10485760
1578191888,10485760
1578191891,10485760
1578191894,10485760
1578191897,10485760
1578191900,10485760
1578191903,10485760
1578191906,10485760
1578191909,10485760
1578191912,10485760
1578191915,10485760
1578191918,10485760
1578191921,10485760
1578191924,10485760
1578191927,10485760
1578191930,10485760
1578191933,10485760
1578191936,10485760
1578191939,10485760
1578191942,10485760
1578191945,10485760
1578191948,10485760
1578191951,10485760
1578191954,10485760
1578191957,10485760
1578191960,10485760
1578191963,10485760
1578191966,10485760
1578191969,10485760
1578191972,10485760
1578191975,10485760
1578191978,10485760
1578191981,10485760
1578191984,10485760
1578191987,10485760
1578191990,10485760
1578191993,10485760
1578191996,10485760
1578191999,10485760
1578192002,10485760
1578192005,10485760
1578192008,10485760
1578192011,10485760
1578192014,10485760
1578192017,10485760
1578192020,10485760
1578192023,10485760
1578192026,10485760
1578192029,10485760
1578192032,10485760
1578192035,10485760
1578192038,10485760
1578192041,10485760
1578192044,10485760
1578192047,10485760
1578192050,10485760
1578192053,10485760
1578192056,10485760
1578192059,10485760
1578192062,10485760
1578192065,10485760
1578192068,10485760
1578192071,10485760
1578192074,10485760
1578192077,10485760
1578192080,10485760
1578192083,10485760
1578192086,10485760
1578192089,10485760
1578192092,10485760
1578192095,10485760
1578192098,10485760
1578192101,10485760
1578192104,10485760
1578192107,10485760
1578192110,10485760
1578192113,10485760
1578192116,10485760
1578192119,10485760
1578192122,10485760
1578192125,10485760
1578192128,10485760
1578192131,10485760
1578192134,10485760
1578192137,10485760
1578192140,10485760
1578192143,10485760
1578192146,10485760
1578192149,10485760
1578192152,10485760
1578192155,10485760
1578192158,10485760
1578192161,10485760
1578192164,10485760
1578192167,10485760
1578192170,10485760
1578192173,10485760
1578192176,10485760
1578192179,10485760
1578192182,10485760
1578192185,10485760
1578192188,10485760
1578192191,10485760
1578192194,10485760
1578192197,10485760
1578192200,10485760
1578192203,10485760
1578192206,10485760
1578192209,10485760
1578192212,10485760
1578192215,10485760
1578192218,10485760
1578192221,10485760
1578192224,10485760
1578192227,10485760
1578192230,10485760
1578192233,10485760
1578192236,10485760
1578192239,10485760
1578192242,10485760
1578192245,10485760
1578192248,10485760
1578192251,10485760
1578192254,10485760
1578192257,10485760
1578192260,10485760
1578192263,10485760
1578192266,10485760
1578192269,10485760
1578192272,10485760
1578192275,10485760
1578192278,10485760
1578192281,10485760
1578192284,10485760
1578192287,10485760
1578192290,10485760
1578192293,10485760
1578192296,10485760
1578192299,10485760
1578192302,10485760
1578192305,10485760
1578192308,10485760
1578192311,10485760
1578192314,10485760
1578192317,10485760
1578192320,10485760
1578192323,10485760
1578192326,10485760
1578192329,10485760
1578192332,10485760
1578192335,10485760
1578192338,10485760
1578192341,10485760
1578192344,10485760
1578192347,10485760
