t,value
1578191060,43649384
1578191063,65193560
1578191066,69295464
1578191069,69314248
1578191072,69325992
1578191075,69326400
1578191078,71066952
1578191081,74335472
1578191084,74343912
1578191087,74351048
1578191090,74374184
1578191093,74377448
1578191096,74380160
1578191099,74494664
1578191102,74503784
1578191105,74503784
1578191108,74508152
1578191111,74509384
1578191114,74510280
1578191117,74514248
1578191120,74556024
1578191123,74557088
1578191126,74559040
1578191129,74560680
1578191132,74656280
1578191135,74665696
1578191138,74708160
1578191141,74725664
1578191144,74726008
1578191147,74732992
1578191150,75413712
1578191153,75416304
1578191156,75456248
1578191159,75505976
1578191162,75542008
1578191165,75601008
1578191168,75627424
1578191171,75643832
1578191174,75658776
1578191177,75663672
1578191180,75697928
1578191183,75702112
1578191186,75730920
1578191189,75737728
1578191192,75740096
1578191195,75744288
1578191198,75789712
1578191201,75809328
1578191204,75816992
1578191207,75830096
1578191210,75832952
1578191213,75856536
1578191216,75859936
1578191219,75931296
1578191222,75963416
1578191225,75982280
1578191228,75984272
1578191231,75985736
1578191234,75986272
1578191237,75989168
1578191240,76111528
1578191243,76111528
1578191246,76111920
1578191249,76120480
1578191252,76143632
1578191255,76147736
1578191258,76205200
1578191261,76235104
1578191264,76236728
1578191267,76262336
1578191270,76282904
1578191273,76305416
1578191276,76485152
1578191279,76520536
1578191282,76584224
1578191285,76584224
1578191288,76671032
1578191291,76691496
1578191294,76720360
1578191297,76736888
1578191300,76761512
1578191303,76807024
1578191306,76810992
1578191309,76829368
1578191312,84653368
1578191315,84654944
1578191318,84785960
1578191321,84836248
1578191324,84864912
1578191327,84893688
1578191330,84928792
1578191333,84928792
1578191336,84928792
1578191339,84939960
1578191342,84939960
1578191345,84941632
1578191348,84941632
1578191351,84941632
1578191354,84941632
1578191357,84943552
1578191360,84965112
1578191363,84965112
1578191366,84972176
1578191369,84993352
1578191372,85002096
1578191375,85002096
1578191378,85027992
1578191381,85067992
1578191384,85071504
1578191387,85095136
1578191390,85108856
1578191393,85108856
1578191396,85111688
1578191399,85184728
1578191402,85189376
1578191405,85217312
1578191408,85220328
1578191411,85227080
1578191414,85229840
1578191417,85232832
1578191420,85269744
1578191423,85269744
1578191426,85269744
1578191429,85270296
1578191432,85270296
1578191435,85270296
1578191438,85296016
1578191441,85302224
1578191444,85313464
1578191447,85317856
1578191450,85323976
1578191453,85323976
1578191456,85330200
1578191459,85340744
1578191462,85340744
1578191465,85340744
1578191468,85340744
1578191471,85340744
1578191474,85341264
1578191477,85347832
1578191480,85351056
1578191483,85351592
1578191486,85351592
1578191489,85353592
1578191492,85353592
1578191495,85353592
1578191498,85368584
1578191501,85374064
1578191504,85374064
1578191507,85374064
1578191510,85374064
1578191513,85374064
1578191516,85374064
1578191519,85380536
1578191522,85380536
1578191525,85380536
1578191528,85380536
1578191531,85383272
1578191534,85383272
1578191537,85391152
1578191540,85402992
1578191543,85402992
1578191546,85439176
1578191549,85439176
1578191552,85439176
1578191555,85439864
1578191558,85472096
1578191561,85474384
1578191564,85474384
1578191567,85480680
1578191570,85480680
1578191573,85485696
1578191576,85488416
1578191579,85493216
1578191582,85495784
1578191585,85496680
1578191588,85496680
1578191591,85496680
1578191594,85497080
1578191597,85545072
1578191600,85546816
1578191603,85546848
1578191606,85547232
1578191609,85551960
1578191612,85560272
1578191615,85560272
1578191618,85565752
1578191621,85570344
1578191624,85593544
1578191627,85596040
1578191630,87020208
1578191633,87052336
1578191636,87057752
1578191639,87080432
1578191642,87081208
1578191645,87081208
1578191648,87082040
1578191651,87296536
1578191654,87302112
1578191657,87309888
1578191660,87617072
1578191663,87631056
1578191666,87631616
1578191669,87632336
1578191672,87635264
1578191675,87647192
1578191678,87651616
1578191681,87652000
1578191684,87652552
1578191687,87652552
1578191690,87652552
1578191693,87652552
1578191696,87652552
1578191699,87658192
1578191702,87658928
1578191705,87683328
1578191708,87683328
1578191711,87687632
1578191714,87693584
1578191717,87697432
1578191720,87697944
1578191723,87698328
1578191726,87895096
1578191729,88910768
1578191732,88910768
1578191735,88910768
1578191738,88911992
1578191741,88913832
1578191744,88927432
1578191747,88927432
1578191750,88927432
1578191753,88966000
1578191756,88966000
1578191759,88983392
1578191762,88984072
1578191765,88986576
1578191768,88993320
1578191771,88995088
1578191774,89003352
1578191777,89010552
1578191780,89022864
1578191783,89022864
1578191786,89024752
1578191789,89092608
1578191792,89094440
1578191795,89094952
1578191798,89100504
1578191801,89108368
1578191804,89108688
1578191807,89124792
1578191810,89511096
1578191813,89511096
1578191816,89511096
1578191819,89517224
1578191822,89517656
1578191825,89523464
1578191828,89525712
1578191831,89526952
1578191834,89526952
1578191837,89529016
1578191840,89545792
1578191843,89546168
1578191846,89547424
1578191849,89547424
1578191852,89557472
1578191855,89610056
1578191858,89726320
1578191861,89829208
1578191864,89839672
1578191867,89843568
1578191870,89843568
1578191873,89843568
1578191876,89843856
1578191879,89849504
1578191882,89851672
1578191885,89872408
1578191888,89872408
1578191891,89992376
1578191894,89992376
1578191897,90021816
1578191900,90024368
1578191903,90026096
1578191906,90031848
1578191909,90032224
