t,value
1578191060,24
1578191063,35
1578191066,44
1578191069,46
1578191072,45
1578191075,44
1578191078,50
1578191081,53
1578191084,52
1578191087,50
1578191090,50
1578191093,49
1578191096,48
1578191099,49
1578191102,49
1578191105,49
1578191108,48
1578191111,48
1578191114,48
1578191117,48
1578191120,49
1578191123,49
1578191126,48
1578191129,47
1578191132,49
1578191135,49
1578191138,48
1578191141,48
1578191144,48
1578191147,47
1578191150,49
1578191153,49
1578191156,49
1578191159,49
1578191162,49
1578191165,49
1578191168,49
1578191171,49
1578191174,49
1578191177,49
1578191180,48
1578191183,48
1578191186,48
1578191189,48
1578191192,47
1578191195,48
1578191198,48
1578191201,48
1578191204,48
1578191207,48
1578191210,48
1578191213,48
1578191216,48
1578191219,48
1578191222,48
1578191225,48
1578191228,48
1578191231,47
1578191234,47
1578191237,47
1578191240,48
1578191243,48
1578191246,46
1578191249,47
1578191252,47
1578191255,47
1578191258,47
1578191261,47
1578191264,47
1578191267,47
1578191270,47
1578191273,47
1578191276,47
1578191279,47
1578191282,47
1578191285,47
1578191288,47
1578191291,47
1578191294,49
1578191297,48
1578191300,48
1578191303,48
1578191306,47
1578191309,47
1578191312,47
1578191315,47
1578191318,47
1578191321,47
1578191324,47
1578191327,47
1578191330,47
1578191333,47
1578191336,46
1578191339,46
1578191342,46
1578191345,46
1578191348,45
1578191351,45
1578191354,45
1578191357,45
1578191360,46
1578191363,46
1578191366,47
1578191369,47
1578191372,47
1578191375,46
1578191378,47
1578191381,47
1578191384,47
1578191387,47
1578191390,47
1578191393,47
1578191396,47
1578191399,47
1578191402,47
1578191405,47
1578191408,47
1578191411,47
1578191414,47
1578191417,47
1578191420,47
1578191423,47
1578191426,46
1578191429,45
1578191432,45
1578191435,45
1578191438,47
1578191441,47
1578191444,46
1578191447,45
1578191450,47
1578191453,47
1578191456,47
1578191459,47
1578191462,46
1578191465,46
1578191468,45
1578191471,45
1578191474,45
1578191477,45
1578191480,46
1578191483,46
1578191486,46
1578191489,47
1578191492,47
1578191495,45
1578191498,46
1578191501,47
1578191504,47
1578191507,46
1578191510,45
1578191513,45
1578191516,45
1578191519,46
1578191522,46
1578191525,46
1578191528,45
1578191531,45
1578191534,45
1578191537,45
1578191540,46
1578191543,46
1578191546,47
1578191549,47
1578191552,46
1578191555,47
1578191558,47
1578191561,47
1578191564,46
1578191567,47
1578191570,47
1578191573,46
1578191576,46
1578191579,46
1578191582,46
1578191585,46
1578191588,46
1578191591,47
1578191594,47
1578191597,47
1578191600,47
1578191603,47
1578191606,47
1578191609,47
1578191612,47
1578191615,47
1578191618,47
1578191621,47
1578191624,47
1578191627,47
1578191630,47
1578191633,47
1578191636,46
1578191639,47
1578191642,47
1578191645,47
1578191648,47
1578191651,47
1578191654,47
1578191657,46
1578191660,47
1578191663,47
1578191666,47
1578191669,47
1578191672,47
1578191675,47
1578191678,47
1578191681,46
1578191684,46
1578191687,45
1578191690,45
1578191693,45
1578191696,45
1578191699,46
1578191702,47
1578191705,47
1578191708,47
1578191711,47
1578191714,47
1578191717,46
1578191720,46
1578191723,46
1578191726,47
1578191729,47
1578191732,47
1578191735,46
1578191738,46
1578191741,47
1578191744,47
1578191747,47
1578191750,46
1578191753,47
1578191756,47
1578191759,47
1578191762,47
1578191765,47
1578191768,47
1578191771,47
1578191774,47
1578191777,47
1578191780,47
1578191783,47
1578191786,47
1578191789,47
1578191792,47
1578191795,46
1578191798,47
1578191801,47
1578191804,47
1578191807,47
1578191810,47
1578191813,47
1578191816,46
1578191819,46
1578191822,46
1578191825,46
1578191828,45
1578191831,46
1578191834,47
1578191837,47
1578191840,47
1578191843,47
1578191846,47
1578191849,47
1578191852,47
1578191855,47
1578191858,47
1578191861,47
1578191864,47
1578191867,46
1578191870,46
1578191873,45
1578191876,46
1578191879,46
1578191882,46
1578191885,47
1578191888,47
1578191891,47
1578191894,47
1578191897,47
1578191900,47
1578191903,47
1578191906,47
1578191909,47
1578191912,47
1578191915,47
1578191918,47
1578191921,46
1578191924,46
1578191927,45
1578191930,45
1578191933,45
1578191936,45
1578191939,46
1578191942,46
1578191945,46
1578191948,46
1578191951,46
1578191954,46
1578191957,47
1578191960,47
1578191963,46
1578191966,46
1578191969,45
1578191972,45
1578191975,45
1578191978,46
1578191981,46
1578191984,46
1578191987,45
1578191990,45
1578191993,45
1578191996,45
1578191999,46
1578192002,46
1578192005,46
1578192008,45
1578192011,45
1578192014,45
1578192017,45
1578192020,46
1578192023,46
1578192026,46
1578192029,46
1578192032,46
1578192035,46
1578192038,47
1578192041,47
1578192044,47
1578192047,47
1578192050,47
1578192053,47
1578192056,47
1578192059,46
1578192062,46
1578192065,46
1578192068,45
1578192071,45
1578192074,45
1578192077,45
1578192080,46
1578192083,46
1578192086,46
1578192089,46
1578192092,46
1578192095,46
1578192098,47
1578192101,47
1578192104,46
1578192107,47
1578192110,47
1578192113,47
1578192116,47
1578192119,47
1578192122,47
1578192125,47
1578192128,47
1578192131,46
1578192134,47
1578192137,47
1578192140,47
1578192143,47
1578192146,47
1578192149,47
1578192152,47
1578192155,47
1578192158,46
1578192161,47
1578192164,47
1578192167,46
1578192170,45
1578192173,45
1578192176,45
1578192179,47
1578192182,47
1578192185,46
1578192188,47
1578192191,47
1578192194,47
1578192197,47
1578192200,47
1578192203,47
1578192206,47
1578192209,47
1578192212,47
1578192215,47
1578192218,47
1578192221,47
1578192224,47
1578192227,46
1578192230,45
1578192233,45
1578192236,45
1578192239,47
1578192242,47
1578192245,47
1578192248,47
1578192251,47
1578192254,47
1578192257,47
1578192260,47
1578192263,47
1578192266,47
1578192269,47
1578192272,47
1578192275,47
1578192278,46
1578192281,46
1578192284,46
1578192287,46
1578192290,46
1578192293,46
1578192296,45
1578192299,46
1578192302,46
1578192305,46
1578192308,45
1578192311,46
1578192314,46
1578192317,46
1578192320,46
1578192323,46
1578192326,46
1578192329,45
1578192332,46
1578192335,46
1578192338,46
1578192341,46
1578192344,46
1578192347,45
1578192350,46
1578192353,46
1578192356,46
1578192359,46
1578192362,46
1578192365,46
1578192368,47
1578192371,47
1578192374,45
1578192377,47
1578192380,47
1578192383,47
1578192386,47
1578192389,47
1578192392,46
1578192395,47
1578192398,47
1578192401,47
1578192404,47
1578192407,47
1578192410,47
1578192413,47
1578192416,47
1578192419,47
1578192422,47
1578192425,46
1578192428,47
1578192431,47
1578192434,47
1578192437,47
1578192440,47
1578192443,47
1578192446,47
1578192449,47
1578192452,47
1578192455,47
1578192458,47
1578192461,47
1578192464,47
1578192467,47
1578192470,47
1578192473,46
1578192476,47
1578192479,47
1578192482,47
1578192485,47
1578192488,47
1578192491,47
1578192494,47
1578192497,47
1578192500,47
1578192503,47
1578192506,47
1578192509,47
1578192512,46
1578192515,46
1578192518,46
1578192521,46
1578192524,47
1578192527,47
1578192530,46
1578192533,46
1578192536,46
1578192539,46
1578192542,46
1578192545,46
1578192548,45
1578192551,46
1578192554,46
1578192557,46
1578192560,46
1578192563,46
1578192566,46
1578192569,45
1578192572,45
1578192575,46
1578192578,47
1578192581,47
1578192584,46
1578192587,46
1578192590,45
1578192593,45
1578192596,45
1578192599,46
1578192602,46
1578192605,46
1578192608,45
1578192611,45
1578192614,45
1578192617,46
1578192620,46
1578192623,46
1578192626,46
1578192629,47
1578192632,47
1578192635,47
1578192638,47
1578192641,48
1578192644,48
1578192647,48
1578192650,48
1578192653,46
1578192656,48
1578192659,48
1578192662,48
1578192665,48
1578192668,50
1578192671,50
1578192674,49
1578192677,49
1578192680,48
1578192683,48
1578192686,48
1578192689,47
1578192692,46
1578192695,45
1578192698,46
1578192701,46
1578192704,46
1578192707,47
1578192710,47
1578192713,46
1578192716,45
1578192719,46
1578192722,46
1578192725,46
1578192728,45
1578192731,45
