t,value
1578191060,31
1578191063,40
1578191066,49
1578191069,51
1578191072,50
1578191075,49
1578191078,55
1578191081,58
1578191084,57
1578191087,55
1578191090,55
1578191093,54
1578191096,53
1578191099,54
1578191102,54
1578191105,54
1578191108,53
1578191111,53
1578191114,53
1578191117,53
1578191120,54
1578191123,54
1578191126,53
1578191129,52
1578191132,54
1578191135,54
1578191138,53
1578191141,53
1578191144,53
1578191147,52
1578191150,54
1578191153,54
1578191156,54
1578191159,54
1578191162,54
1578191165,54
1578191168,54
1578191171,54
1578191174,54
1578191177,54
1578191180,53
1578191183,53
1578191186,53
1578191189,53
1578191192,52
1578191195,53
1578191198,53
1578191201,53
1578191204,53
1578191207,53
1578191210,53
1578191213,53
1578191216,53
1578191219,53
1578191222,53
1578191225,53
1578191228,53
1578191231,52
1578191234,52
1578191237,52
1578191240,53
1578191243,53
1578191246,51
1578191249,52
1578191252,52
1578191255,52
1578191258,52
1578191261,52
1578191264,52
1578191267,52
1578191270,52
1578191273,52
1578191276,52
1578191279,52
1578191282,52
1578191285,52
1578191288,52
1578191291,52
1578191294,54
1578191297,53
1578191300,53
1578191303,53
1578191306,52
1578191309,52
1578191312,52
1578191315,52
1578191318,52
1578191321,52
1578191324,52
1578191327,52
1578191330,52
1578191333,52
1578191336,51
1578191339,51
1578191342,51
1578191345,51
1578191348,50
1578191351,50
1578191354,50
1578191357,50
1578191360,51
1578191363,51
1578191366,52
1578191369,52
1578191372,52
1578191375,51
1578191378,52
1578191381,52
1578191384,52
1578191387,52
1578191390,52
1578191393,52
1578191396,52
1578191399,52
1578191402,52
1578191405,52
1578191408,52
1578191411,52
1578191414,52
1578191417,52
1578191420,52
1578191423,52
1578191426,51
1578191429,50
1578191432,50
1578191435,50
1578191438,52
1578191441,52
1578191444,51
1578191447,50
1578191450,52
1578191453,52
1578191456,52
1578191459,52
1578191462,51
1578191465,51
1578191468,50
1578191471,50
1578191474,50
1578191477,50
1578191480,51
1578191483,51
1578191486,51
1578191489,52
1578191492,52
1578191495,50
1578191498,51
1578191501,52
1578191504,52
1578191507,51
1578191510,50
1578191513,50
1578191516,50
1578191519,51
1578191522,51
1578191525,51
1578191528,50
1578191531,50
1578191534,50
1578191537,50
1578191540,51
1578191543,51
1578191546,52
1578191549,52
1578191552,51
1578191555,52
1578191558,52
1578191561,52
1578191564,51
1578191567,52
1578191570,52
1578191573,51
1578191576,51
1578191579,51
1578191582,51
1578191585,51
1578191588,51
1578191591,52
1578191594,52
1578191597,52
1578191600,52
1578191603,52
1578191606,52
1578191609,52
1578191612,52
1578191615,52
1578191618,52
1578191621,52
1578191624,52
1578191627,52
1578191630,52
1578191633,52
1578191636,51
1578191639,52
1578191642,52
1578191645,52
1578191648,52
1578191651,52
1578191654,52
1578191657,51
1578191660,54
1578191663,52
1578191666,52
1578191669,52
1578191672,52
1578191675,52
1578191678,52
1578191681,51
1578191684,51
1578191687,50
1578191690,50
1578191693,50
1578191696,50
1578191699,51
1578191702,52
1578191705,52
1578191708,52
1578191711,52
1578191714,52
1578191717,51
1578191720,51
1578191723,51
1578191726,52
1578191729,52
1578191732,52
1578191735,51
1578191738,51
1578191741,52
1578191744,52
1578191747,52
1578191750,51
1578191753,52
1578191756,52
1578191759,52
1578191762,52
1578191765,52
1578191768,52
1578191771,52
1578191774,52
1578191777,52
1578191780,52
1578191783,52
1578191786,52
1578191789,52
1578191792,52
1578191795,51
1578191798,52
1578191801,52
1578191804,52
1578191807,52
1578191810,52
1578191813,52
1578191816,51
1578191819,51
1578191822,51
1578191825,51
1578191828,50
1578191831,51
1578191834,52
1578191837,52
1578191840,52
1578191843,52
1578191846,52
1578191849,52
1578191852,52
1578191855,52
1578191858,52
1578191861,52
1578191864,52
1578191867,51
1578191870,51
1578191873,50
1578191876,51
1578191879,51
1578191882,51
1578191885,52
1578191888,52
1578191891,52
1578191894,52
1578191897,52
1578191900,52
1578191903,52
1578191906,52
1578191909,52
1578191912,52
1578191915,52
1578191918,52
1578191921,51
1578191924,51
1578191927,50
1578191930,50
1578191933,50
1578191936,50
1578191939,51
1578191942,51
1578191945,51
1578191948,51
1578191951,51
1578191954,51
1578191957,52
1578191960,52
1578191963,51
1578191966,51
1578191969,50
1578191972,50
1578191975,50
1578191978,51
1578191981,51
1578191984,51
1578191987,50
1578191990,50
1578191993,50
1578191996,50
1578191999,51
1578192002,51
1578192005,51
1578192008,50
1578192011,50
1578192014,50
1578192017,50
1578192020,51
1578192023,51
1578192026,51
1578192029,51
1578192032,51
1578192035,51
1578192038,52
1578192041,52
1578192044,52
1578192047,52
1578192050,52
1578192053,52
1578192056,52
1578192059,51
1578192062,51
1578192065,51
1578192068,50
1578192071,50
1578192074,50
1578192077,50
1578192080,51
1578192083,51
1578192086,51
1578192089,51
1578192092,51
1578192095,51
1578192098,52
1578192101,52
1578192104,51
1578192107,52
1578192110,52
1578192113,52
1578192116,52
1578192119,52
1578192122,52
1578192125,52
1578192128,52
1578192131,51
1578192134,52
1578192137,52
1578192140,52
1578192143,52
1578192146,52
1578192149,52
1578192152,52
1578192155,52
1578192158,51
1578192161,52
1578192164,52
1578192167,51
1578192170,50
1578192173,50
1578192176,50
1578192179,52
1578192182,52
1578192185,51
1578192188,52
1578192191,52
1578192194,52
1578192197,52
1578192200,52
1578192203,52
1578192206,52
1578192209,52
1578192212,52
1578192215,52
1578192218,52
1578192221,52
1578192224,52
1578192227,51
1578192230,50
1578192233,50
1578192236,50
1578192239,52
1578192242,52
1578192245,52
1578192248,52
1578192251,52
1578192254,52
1578192257,52
1578192260,52
1578192263,52
1578192266,52
1578192269,52
1578192272,52
1578192275,52
1578192278,51
1578192281,51
1578192284,51
1578192287,51
1578192290,51
1578192293,51
1578192296,50
1578192299,51
1578192302,51
1578192305,51
1578192308,50
1578192311,51
1578192314,51
1578192317,51
1578192320,51
1578192323,51
1578192326,51
1578192329,50
1578192332,51
1578192335,51
1578192338,51
1578192341,51
1578192344,51
1578192347,50
1578192350,51
1578192353,51
1578192356,51
1578192359,51
1578192362,51
1578192365,51
1578192368,52
1578192371,52
1578192374,50
1578192377,52
1578192380,52
1578192383,52
1578192386,52
1578192389,52
1578192392,51
1578192395,52
1578192398,52
1578192401,52
1578192404,52
1578192407,52
1578192410,52
1578192413,52
1578192416,52
1578192419,52
1578192422,52
1578192425,51
1578192428,52
1578192431,52
1578192434,52
1578192437,52
1578192440,52
1578192443,52
1578192446,52
1578192449,52
1578192452,52
1578192455,52
1578192458,52
1578192461,52
1578192464,52
1578192467,52
1578192470,52
1578192473,51
1578192476,52
1578192479,52
1578192482,52
1578192485,52
1578192488,52
1578192491,52
1578192494,52
1578192497,52
1578192500,52
1578192503,52
1578192506,52
1578192509,52
1578192512,51
1578192515,51
1578192518,51
1578192521,51
1578192524,52
1578192527,52
1578192530,51
1578192533,51
1578192536,51
1578192539,51
1578192542,51
1578192545,51
1578192548,50
1578192551,51
1578192554,51
1578192557,51
1578192560,51
1578192563,51
1578192566,51
1578192569,50
1578192572,50
1578192575,51
1578192578,52
1578192581,52
1578192584,51
1578192587,51
1578192590,50
1578192593,50
1578192596,50
1578192599,51
1578192602,51
1578192605,51
1578192608,50
1578192611,50
1578192614,50
1578192617,51
1578192620,51
1578192623,51
1578192626,51
1578192629,52
1578192632,52
1578192635,52
1578192638,52
1578192641,53
1578192644,53
1578192647,53
1578192650,53
1578192653,51
1578192656,53
1578192659,53
1578192662,53
1578192665,53
1578192668,55
1578192671,55
1578192674,54
1578192677,54
1578192680,53
1578192683,53
1578192686,53
1578192689,52
1578192692,51
1578192695,50
1578192698,51
1578192701,51
1578192704,51
1578192707,52
1578192710,52
1578192713,51
1578192716,50
1578192719,51
1578192722,51
1578192725,51
1578192728,50
1578192731,50
1578192734,50
1578192737,50
1578192740,51
1578192743,51
1578192746,51
1578192749,50
1578192752,50
1578192755,50
1578192758,51
1578192761,51
1578192764,51
1578192767,50
1578192770,50
1578192773,50
1578192776,50
1578192779,51
1578192782,51
1578192785,51
1578192788,50
1578192791,50
1578192794,50
1578192797,50
1578192800,51
1578192803,51
1578192806,51
1578192809,50
1578192812,50
1578192815,50
1578192818,51
1578192821,51
1578192824,51
1578192827,50
1578192830,50
1578192833,50
1578192836,50
1578192839,51
1578192842,51
1578192845,51
1578192848,50
1578192851,50
1578192854,50
1578192857,50
1578192860,51
1578192863,51
1578192866,51
1578192869,50
1578192872,50
1578192875,50
1578192878,51
1578192881,51
1578192884,51
1578192887,50
1578192890,50
1578192893,50
1578192896,52
1578192899,52
1578192902,52
1578192905,52
1578192908,54
1578192911,53
1578192914,53
1578192917,53
1578192920,54
1578192923,53
1578192926,53
1578192929,51
1578192932,51
1578192935,52
1578192938,52
1578192941,52
1578192944,52
1578192947,52
1578192950,52
1578192953,51
1578192956,52
1578192959,52
1578192962,52
1578192965,52
1578192968,52
1578192971,52
1578192974,52
1578192977,52
1578192980,52
1578192983,52
1578192986,52
1578192989,52
1578192992,52
1578192995,52
1578192998,52
1578193001,54
1578193004,54
1578193007,53
1578193010,53
1578193013,53
1578193016,53
1578193019,53
1578193022,53
1578193025,53
1578193028,53
1578193031,53
1578193034,53
1578193037,53
1578193040,53
1578193043,53
1578193046,53
1578193049,53
1578193052,52
1578193055,52
1578193058,52
1578193061,52
1578193064,52
1578193067,51
1578193070,50
1578193073,50
1578193076,50
1578193079,51
1578193082,51
1578193085,51
1578193088,52
1578193091,52
1578193094,52
1578193097,52
1578193100,52
1578193103,52
1578193106,52
1578193109,52
1578193112,50
1578193115,50
1578193118,51
1578193121,51
1578193124,52
1578193127,52
1578193130,52
1578193133,51
1578193136,50
1578193139,52
1578193142,52
1578193145,51
1578193148,50
1578193151,50
1578193154,52
1578193157,52
1578193160,52
1578193163,52
1578193166,52
1578193169,52
1578193172,52
1578193175,52
1578193178,52
1578193181,52
1578193184,52
1578193187,52
1578193190,53
1578193193,53
1578193196,52
1578193199,52
1578193202,52
1578193205,52
1578193208,52
1578193211,52
1578193214,50
1578193217,50
1578193220,52
1578193223,52
1578193226,52
1578193229,52
1578193232,52
1578193235,52
1578193238,52
1578193241,52
1578193244,51
1578193247,50
1578193250,50
1578193253,50
1578193256,50
1578193259,52
1578193262,52
1578193265,52
1578193268,52
1578193271,52
1578193274,52
1578193277,52
1578193280,52
1578193283,52
1578193286,52
1578193289,52
1578193292,52
1578193295,52
1578193298,52
1578193301,52
1578193304,52
1578193307,52
1578193310,52
1578193313,52
1578193316,52
1578193319,52
1578193322,52
1578193325,51
1578193328,50
1578193331,50
1578193334,50
1578193337,50
1578193340,52
1578193343,52
1578193346,52
1578193349,52
1578193352,52
1578193355,52
1578193358,52
1578193361,52
1578193364,52
1578193367,52
1578193370,52
1578193373,52
1578193376,52
1578193379,52
1578193382,52
1578193385,52
1578193388,52
1578193391,52
1578193394,52
1578193397,52
1578193400,51
1578193403,51
1578193406,52
1578193409,52
1578193412,52
1578193415,52
1578193418,52
1578193421,52
1578193424,52
1578193427,52
1578193430,52
1578193433,52
1578193436,52
1578193439,52
1578193442,52
1578193445,51
1578193448,52
1578193451,52
1578193454,52
1578193457,52
1578193460,52
1578193463,52
1578193466,52
1578193469,52
1578193472,52
1578193475,52
1578193478,52
1578193481,52
1578193484,52
1578193487,52
1578193490,52
1578193493,52
1578193496,51
1578193499,52
1578193502,52
1578193505,52
1578193508,52
1578193511,52
1578193514,52
1578193517,52
1578193520,52
1578193523,52
1578193526,52
1578193529,50
1578193532,52
1578193535,52
1578193538,52
1578193541,52
1578193544,51
1578193547,52
1578193550,52
1578193553,51
1578193556,50
1578193559,51
1578193562,51
1578193565,51
1578193568,50
1578193571,50
1578193574,50
1578193577,50
1578193580,51
1578193583,51
1578193586,52
1578193589,52
1578193592,52
1578193595,52
1578193598,52
1578193601,52
1578193604,52
1578193607,52
1578193610,51
1578193613,50
1578193616,52
1578193619,52
1578193622,52
1578193625,52
1578193628,52
1578193631,52
1578193634,52
1578193637,52
1578193640,52
1578193643,52
1578193646,52
1578193649,52
1578193652,52
1578193655,52
1578193658,52
1578193661,52
1578193664,52
1578193667,52
1578193670,52
1578193673,52
1578193676,52
1578193679,52
1578193682,52
1578193685,52
1578193688,52
1578193691,52
1578193694,52
1578193697,52
1578193700,52
1578193703,52
1578193706,52
1578193709,52
1578193712,51
1578193715,50
1578193718,52
1578193721,52
1578193724,52
1578193727,52
1578193730,52
1578193733,52
1578193736,52
1578193739,52
1578193742,52
1578193745,51
1578193748,52
1578193751,52
1578193754,52
1578193757,52
1578193760,52
1578193763,52
1578193766,52
1578193769,52
1578193772,52
1578193775,52
1578193778,52
1578193781,52
1578193784,52
1578193787,52
1578193790,52
1578193793,52
1578193796,52
1578193799,52
1578193802,52
1578193805,52
1578193808,51
1578193811,52
1578193814,52
1578193817,51
1578193820,51
1578193823,52
1578193826,52
1578193829,52
1578193832,50
1578193835,52
1578193838,52
1578193841,52
1578193844,52
1578193847,52
1578193850,52
1578193853,52
1578193856,52
1578193859,52
1578193862,53
1578193865,53
1578193868,51
1578193871,52
1578193874,52
1578193877,52
1578193880,52
1578193883,51
1578193886,51
1578193889,52
1578193892,52
1578193895,51
1578193898,51
1578193901,52
1578193904,52
1578193907,52
1578193910,52
1578193913,52
1578193916,52
1578193919,52
1578193922,52
1578193925,52
1578193928,52
1578193931,52
1578193934,52
1578193937,52
1578193940,52
1578193943,52
1578193946,52
1578193949,51
1578193952,51
1578193955,51
1578193958,52
1578193961,52
1578193964,52
1578193967,52
1578193970,52
1578193973,52
1578193976,52
1578193979,52
1578193982,52
1578193985,52
1578193988,52
1578193991,52
1578193994,52
1578193997,52
1578194000,51
1578194003,51
1578194006,52
1578194009,52
1578194012,52
1578194015,51
1578194018,52
1578194021,53
1578194024,53
1578194027,52
1578194030,52
1578194033,52
1578194036,51
1578194039,53
1578194042,53
1578194045,53
1578194048,53
1578194051,52
1578194054,53
1578194057,53
1578194060,52
1578194063,52
1578194066,52
1578194069,51
1578194072,51
1578194075,52
1578194078,52
1578194081,52
1578194084,52
1578194087,52
1578194090,52
1578194093,51
1578194096,50
1578194099,51
1578194102,51
1578194105,51
1578194108,50
1578194111,52
1578194114,52
1578194117,52
1578194120,52
1578194123,52
1578194126,52
1578194129,52
1578194132,52
1578194135,51
1578194138,51
1578194141,52
1578194144,52
1578194147,51
1578194150,52
1578194153,52
1578194156,51
1578194159,51
1578194162,51
1578194165,51
1578194168,50
1578194171,50
1578194174,50
1578194177,50
1578194180,52
1578194183,52
1578194186,52
1578194189,52
1578194192,51
1578194195,51
1578194198,51
1578194201,51
1578194204,51
1578194207,51
1578194210,52
1578194213,52
1578194216,52
1578194219,52
1578194222,52
1578194225,52
1578194228,52
1578194231,52
1578194234,52
1578194237,52
1578194240,52
1578194243,52
1578194246,52
1578194249,52
1578194252,52
1578194255,52
1578194258,52
1578194261,51
1578194264,52
1578194267,52
1578194270,52
1578194273,52
1578194276,52
1578194279,52
1578194282,52
1578194285,52
1578194288,52
1578194291,52
1578194294,52
1578194297,51
1578194300,52
1578194303,52
1578194306,51
1578194309,51
1578194312,51
1578194315,51
1578194318,51
1578194321,51
1578194324,51
1578194327,51
1578194330,50
1578194333,50
1578194336,50
1578194339,52
1578194342,52
1578194345,51
1578194348,52
1578194351,52
1578194354,52
1578194357,52
1578194360,52
1578194363,52
1578194366,52
1578194369,52
1578194372,52
1578194375,52
1578194378,52
1578194381,52
1578194384,52
1578194387,52
1578194390,52
1578194393,52
1578194396,51
1578194399,52
1578194402,52
1578194405,52
1578194408,52
1578194411,52
1578194414,51
1578194417,51
1578194420,52
1578194423,52
1578194426,51
1578194429,50
1578194432,50
1578194435,50
1578194438,51
1578194441,51
1578194444,51
1578194447,51
1578194450,50
1578194453,50
1578194456,51
1578194459,52
1578194462,52
1578194465,51
1578194468,51
1578194471,51
1578194474,50
1578194477,50
1578194480,52
1578194483,52
1578194486,51
1578194489,50
1578194492,50
1578194495,50
1578194498,51
1578194501,51
1578194504,51
1578194507,51
1578194510,50
1578194513,50
1578194516,50
1578194519,51
1578194522,51
1578194525,51
1578194528,50
1578194531,50
1578194534,50
1578194537,50
1578194540,52
1578194543,52
1578194546,51
1578194549,50
1578194552,50
1578194555,50
1578194558,51
1578194561,51
1578194564,51
1578194567,51
1578194570,50
1578194573,50
1578194576,50
1578194579,52
1578194582,52
1578194585,51
1578194588,50
1578194591,50
1578194594,50
1578194597,50
1578194600,51
1578194603,51
1578194606,51
1578194609,50
1578194612,50
1578194615,50
1578194618,51
1578194621,52
1578194624,52
1578194627,51
1578194630,50
1578194633,50
1578194636,50
1578194639,55
1578194642,55
1578194645,55
1578194648,54
1578194651,54
1578194654,54
1578194657,58
1578194660,57
1578194663,56
1578194666,56
1578194669,54
1578194672,54
1578194675,56
1578194678,56
1578194681,56
1578194684,56
1578194687,56
1578194690,55
1578194693,54
1578194696,54
1578194699,55
1578194702,55
1578194705,54
1578194708,53
1578194711,53
1578194714,53
1578194717,53
1578194720,55
1578194723,55
1578194726,54
1578194729,53
1578194732,53
1578194735,53
1578194738,54
1578194741,55
1578194744,55
1578194747,54
1578194750,53
1578194753,53
1578194756,53
1578194759,55
1578194762,54
1578194765,53
1578194768,52
1578194771,52
1578194774,52
1578194777,52
1578194780,53
1578194783,53
1578194786,53
1578194789,52
1578194792,52
1578194795,52
1578194798,53
1578194801,54
1578194804,54
1578194807,53
1578194810,52
1578194813,52
1578194816,52
1578194819,53
1578194822,53
1578194825,52
1578194828,51
1578194831,51
1578194834,51
1578194837,51
1578194840,52
1578194843,52
1578194846,52
1578194849,51
1578194852,51
1578194855,51
1578194858,53
1578194861,53
1578194864,52
1578194867,52
1578194870,51
1578194873,51
1578194876,51
1578194879,52
1578194882,52
1578194885,52
1578194888,51
1578194891,50
1578194894,50
1578194897,50
1578194900,52
1578194903,52
1578194906,51
1578194909,50
1578194912,50
1578194915,50
1578194918,52
1578194921,52
1578194924,52
1578194927,52
1578194930,51
1578194933,51
1578194936,51
1578194939,53
1578194942,53
1578194945,52
1578194948,51
1578194951,51
1578194954,51
1578194957,51
1578194960,52
1578194963,52
1578194966,52
1578194969,51
1578194972,51
1578194975,51
1578194978,51
1578194981,52
1578194984,52
1578194987,51
1578194990,50
1578194993,50
1578194996,50
1578194999,51
1578195002,51
1578195005,51
1578195008,50
1578195011,50
1578195014,50
1578195017,50
1578195020,51
1578195023,51
1578195026,51
1578195029,50
1578195032,50
1578195035,50
1578195038,52
1578195041,52
1578195044,51
1578195047,51
1578195050,50
1578195053,50
1578195056,50
1578195059,51
1578195062,51
1578195065,51
1578195068,50
1578195071,50
1578195074,50
1578195077,50
1578195080,52
1578195083,52
1578195086,51
1578195089,50
1578195092,50
1578195095,50
1578195098,51
1578195101,51
1578195104,51
1578195107,51
1578195110,50
1578195113,50
1578195116,50
1578195119,52
1578195122,52
1578195125,51
1578195128,50
1578195131,50
1578195134,50
1578195137,50
1578195140,51
1578195143,51
1578195146,51
1578195149,50
1578195152,50
1578195155,50
1578195158,51
1578195161,52
1578195164,52
1578195167,51
1578195170,50
1578195173,50
1578195176,50
1578195179,51
1578195182,51
1578195185,51
1578195188,50
1578195191,50
1578195194,50
1578195197,50
1578195200,51
1578195203,51
1578195206,51
1578195209,50
1578195212,50
1578195215,50
1578195218,52
1578195221,52
1578195224,51
1578195227,51
1578195230,50
1578195233,50
1578195236,50
1578195239,51
1578195242,51
1578195245,51
1578195248,50
1578195251,50
1578195254,50
1578195257,50
1578195260,52
1578195263,52
1578195266,51
t,value
1578195649,28
1578195652,29
1578195655,30
